2024-02-04 11:38:11,591 - cli.py - This is Paynt version 0.1.0.
2024-02-04 11:38:11,591 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/tac24/grid-meet-sl-2fsc/sketch.templ ...
2024-02-04 11:38:11,591 - sketch.py - assuming sketch in PRISM format...
2024-02-04 11:38:11,595 - prism_parser.py - PRISM model type: DTMC
2024-02-04 11:38:11,595 - prism_parser.py - processing hole definitions...
2024-02-04 11:38:11,595 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/tac24/grid-meet-sl-2fsc/sketch.props ...
2024-02-04 11:38:11,597 - prism_parser.py - found the following specification: optimality: R[exp]{"moves"}min=? [F "goal"] 
2024-02-04 11:38:11,597 - jani.py - constructing JANI program...
2024-02-04 11:38:11,601 - jani.py - constructing the quotient...
2024-02-04 11:38:12,998 - jani.py - associating choices of the quotient with hole assignments...
2024-02-04 11:38:13,812 - sketch.py - sketch parsing OK
2024-02-04 11:38:13,813 - sketch.py - converting state rewards 'moves' to state-action rewards
2024-02-04 11:38:13,846 - sketch.py - constructed explicit quotient having 9216 states and 577728 actions
2024-02-04 11:38:13,846 - sketch.py - found the following specification optimality: R[exp]{"moves"}min=? [F "goal"] 
2024-02-04 11:38:14,240 - synthesizer.py - synthesis initiated, design space: 16777216
> progress 16.43%, elapsed 168 s, estimated 1027 s, iters = {MDP: 5799}, opt = 12.096
> progress 16.51%, elapsed 172 s, estimated 1045 s, iters = {MDP: 5924}, opt = 12.096
> progress 16.51%, elapsed 176 s, estimated 1066 s, iters = {MDP: 5928}, opt = 12.096
> progress 16.523%, elapsed 179 s, estimated 1084 s, iters = {MDP: 5974}, opt = 12.096
> progress 16.525%, elapsed 182 s, estimated 1102 s, iters = {MDP: 6053}, opt = 12.096
> progress 16.552%, elapsed 185 s, estimated 1121 s, iters = {MDP: 6080}, opt = 12.096
> progress 16.577%, elapsed 189 s, estimated 1140 s, iters = {MDP: 6095}, opt = 12.096
> progress 16.59%, elapsed 192 s, estimated 1158 s, iters = {MDP: 6110}, opt = 12.096
> progress 16.61%, elapsed 195 s, estimated 1175 s, iters = {MDP: 6189}, opt = 12.096
> progress 16.773%, elapsed 198 s, estimated 1181 s, iters = {MDP: 6285}, opt = 12.096
> progress 16.812%, elapsed 201 s, estimated 1197 s, iters = {MDP: 6377}, opt = 12.096
> progress 16.845%, elapsed 204 s, estimated 1213 s, iters = {MDP: 6408}, opt = 12.096
> progress 17.59%, elapsed 207 s, estimated 1179 s, iters = {MDP: 6437}, opt = 12.096
> progress 17.607%, elapsed 210 s, estimated 1196 s, iters = {MDP: 6469}, opt = 12.096
> progress 17.618%, elapsed 213 s, estimated 1213 s, iters = {MDP: 6492}, opt = 12.096
> progress 17.648%, elapsed 217 s, estimated 1229 s, iters = {MDP: 6512}, opt = 12.096
> progress 17.742%, elapsed 220 s, estimated 1240 s, iters = {MDP: 6525}, opt = 12.096
> progress 17.803%, elapsed 223 s, estimated 1253 s, iters = {MDP: 6550}, opt = 12.096
> progress 19.146%, elapsed 226 s, estimated 1180 s, iters = {MDP: 6641}, opt = 12.096
> progress 19.274%, elapsed 229 s, estimated 1188 s, iters = {MDP: 6897}, opt = 12.096
> progress 19.536%, elapsed 232 s, estimated 1188 s, iters = {MDP: 7058}, opt = 11.11
> progress 19.554%, elapsed 235 s, estimated 1202 s, iters = {MDP: 7228}, opt = 11.071
> progress 19.677%, elapsed 238 s, estimated 1210 s, iters = {MDP: 7309}, opt = 11.071
> progress 19.696%, elapsed 241 s, estimated 1225 s, iters = {MDP: 7372}, opt = 11.071
