2024-01-08 19:41:21,342 - cli.py - This is Paynt version 0.1.0.
2024-01-08 19:41:21,342 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/int-holes/operator-roz/sketch.templ ...
2024-01-08 19:41:21,342 - sketch.py - assuming sketch in PRISM format...
2024-01-08 19:41:21,350 - prism_parser.py - PRISM model type: MDP
2024-01-08 19:41:21,350 - prism_parser.py - processing hole definitions...
2024-01-08 19:41:21,351 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/int-holes/operator-roz/sketch.props ...
2024-01-08 19:41:21,351 - prism_parser.py - found the following specification: constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-08 19:41:21,351 - jani.py - constructing JANI program...
2024-01-08 19:41:21,396 - jani.py - constructing the quotient...
2024-01-08 19:41:22,602 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 19:41:22,944 - sketch.py - sketch parsing OK
2024-01-08 19:41:22,945 - sketch.py - constructed explicit quotient having 17927 states and 295017 actions
2024-01-08 19:41:22,945 - sketch.py - found the following specification constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-08 19:41:23,097 - mdp_family.py - associating choices with action labels...
2024-01-08 19:41:23,480 - synthesizer.py - evaluation initiated, design space: 14400
> Progress 70.152%, elapsed 192 s, estimated 274 s, iters = {MDP: 10103}
> Progress 70.652%, elapsed 195 s, estimated 277 s, iters = {MDP: 10175}
> Progress 71.159%, elapsed 198 s, estimated 279 s, iters = {MDP: 10248}
> Progress 71.687%, elapsed 201 s, estimated 281 s, iters = {MDP: 10324}
> Progress 72.229%, elapsed 204 s, estimated 283 s, iters = {MDP: 10402}
> Progress 72.777%, elapsed 207 s, estimated 285 s, iters = {MDP: 10481}
> Progress 73.319%, elapsed 210 s, estimated 287 s, iters = {MDP: 10559}
> Progress 73.868%, elapsed 214 s, estimated 289 s, iters = {MDP: 10638}
> Progress 74.43%, elapsed 217 s, estimated 291 s, iters = {MDP: 10719}
> Progress 74.979%, elapsed 220 s, estimated 293 s, iters = {MDP: 10798}
> Progress 75.43%, elapsed 223 s, estimated 295 s, iters = {MDP: 10863}
> Progress 75.888%, elapsed 226 s, estimated 297 s, iters = {MDP: 10929}
> Progress 76.375%, elapsed 229 s, estimated 300 s, iters = {MDP: 10999}
> Progress 76.875%, elapsed 232 s, estimated 302 s, iters = {MDP: 11071}
> Progress 77.347%, elapsed 235 s, estimated 304 s, iters = {MDP: 11139}
> Progress 77.847%, elapsed 238 s, estimated 305 s, iters = {MDP: 11211}
> Progress 78.347%, elapsed 241 s, estimated 307 s, iters = {MDP: 11283}
> Progress 78.854%, elapsed 244 s, estimated 309 s, iters = {MDP: 11356}
> Progress 79.361%, elapsed 247 s, estimated 311 s, iters = {MDP: 11429}
> Progress 79.854%, elapsed 250 s, estimated 313 s, iters = {MDP: 11500}
> Progress 80.298%, elapsed 253 s, estimated 315 s, iters = {MDP: 11564}
> Progress 80.722%, elapsed 256 s, estimated 317 s, iters = {MDP: 11625}
> Progress 81.145%, elapsed 259 s, estimated 319 s, iters = {MDP: 11686}
> Progress 81.59%, elapsed 262 s, estimated 321 s, iters = {MDP: 11750}
> Progress 82.041%, elapsed 265 s, estimated 323 s, iters = {MDP: 11815}
> Progress 82.5%, elapsed 268 s, estimated 325 s, iters = {MDP: 11881}
> Progress 82.937%, elapsed 271 s, estimated 327 s, iters = {MDP: 11944}
> Progress 83.402%, elapsed 274 s, estimated 329 s, iters = {MDP: 12011}
> Progress 83.875%, elapsed 277 s, estimated 330 s, iters = {MDP: 12079}
> Progress 84.333%, elapsed 280 s, estimated 332 s, iters = {MDP: 12145}
> Progress 84.805%, elapsed 283 s, estimated 334 s, iters = {MDP: 12213}
> Progress 85.222%, elapsed 286 s, estimated 336 s, iters = {MDP: 12273}
> Progress 85.597%, elapsed 289 s, estimated 338 s, iters = {MDP: 12327}
> Progress 85.875%, elapsed 292 s, estimated 340 s, iters = {MDP: 12367}
> Progress 86.25%, elapsed 295 s, estimated 342 s, iters = {MDP: 12421}
