2024-01-03 18:53:42,832 - cli.py - This is Paynt version 0.1.0.
2024-01-03 18:53:42,832 - sketch.py - loading sketch from models/mdp/sketches/rover/1000/sketch.templ ...
2024-01-03 18:53:42,832 - sketch.py - assuming sketch in PRISM format...
2024-01-03 18:53:42,834 - prism_parser.py - PRISM model type: MDP
2024-01-03 18:53:42,834 - prism_parser.py - processing hole definitions...
2024-01-03 18:53:42,835 - prism_parser.py - loading properties from models/mdp/sketches/rover/1000/sketch.props ...
2024-01-03 18:53:42,836 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-03 18:53:42,836 - jani.py - constructing JANI program...
2024-01-03 18:53:42,839 - jani.py - constructing the quotient...
2024-01-03 18:53:43,578 - jani.py - associating choices of the quotient with hole assignments...
2024-01-03 18:53:44,210 - sketch.py - sketch parsing OK
2024-01-03 18:53:44,210 - sketch.py - constructed explicit quotient having 17003 states and 518003 actions
2024-01-03 18:53:44,210 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-03 18:53:44,443 - mdp_family.py - associating choices with action labels...
2024-01-03 18:53:44,864 - synthesizer.py - evaluation initiated, design space: 3779136
> Progress 0.186%, elapsed 171 s, estimated 92236 s (25 hours), iters = {MDP: 7033}
> Progress 0.189%, elapsed 174 s, estimated 92300 s (25 hours), iters = {MDP: 7151}
> Progress 0.192%, elapsed 177 s, estimated 92485 s (25 hours), iters = {MDP: 7260}
> Progress 0.194%, elapsed 180 s, estimated 92808 s (25 hours), iters = {MDP: 7358}
> Progress 0.197%, elapsed 183 s, estimated 92899 s (25 hours), iters = {MDP: 7473}
> Progress 0.2%, elapsed 186 s, estimated 93143 s (25 hours), iters = {MDP: 7576}
> Progress 0.203%, elapsed 189 s, estimated 93377 s (25 hours), iters = {MDP: 7679}
> Progress 0.206%, elapsed 192 s, estimated 93426 s (25 hours), iters = {MDP: 7797}
> Progress 0.209%, elapsed 195 s, estimated 93558 s (25 hours), iters = {MDP: 7908}
> Progress 0.211%, elapsed 198 s, estimated 93791 s (26 hours), iters = {MDP: 8010}
> Progress 0.215%, elapsed 201 s, estimated 93834 s (26 hours), iters = {MDP: 8129}
> Progress 0.218%, elapsed 204 s, estimated 93940 s (26 hours), iters = {MDP: 8241}
> Progress 0.22%, elapsed 207 s, estimated 94182 s (26 hours), iters = {MDP: 8341}
> Progress 0.223%, elapsed 210 s, estimated 94268 s (26 hours), iters = {MDP: 8455}
> Progress 0.226%, elapsed 213 s, estimated 94442 s (26 hours), iters = {MDP: 8560}
> Progress 0.229%, elapsed 216 s, estimated 94715 s (26 hours), iters = {MDP: 8656}
> Progress 0.232%, elapsed 219 s, estimated 94752 s (26 hours), iters = {MDP: 8773}
> Progress 0.234%, elapsed 222 s, estimated 95135 s (26 hours), iters = {MDP: 8857}
> Progress 0.236%, elapsed 225 s, estimated 95543 s (26 hours), iters = {MDP: 8938}
> Progress 0.238%, elapsed 228 s, estimated 96039 s (26 hours), iters = {MDP: 9011}
> Progress 0.24%, elapsed 231 s, estimated 96560 s (26 hours), iters = {MDP: 9080}
> Progress 0.242%, elapsed 235 s, estimated 96957 s (26 hours), iters = {MDP: 9161}
