2024-01-03 18:52:16,378 - cli.py - This is Paynt version 0.1.0.
2024-01-03 18:52:16,378 - sketch.py - loading sketch from models/mdp/sketches/dpm/switch-big-q10/sketch.templ ...
2024-01-03 18:52:16,378 - sketch.py - assuming sketch in PRISM format...
2024-01-03 18:52:16,400 - prism_parser.py - PRISM model type: MDP
2024-01-03 18:52:16,400 - prism_parser.py - processing hole definitions...
2024-01-03 18:52:16,401 - prism_parser.py - loading properties from models/mdp/sketches/dpm/switch-big-q10/sketch.props ...
2024-01-03 18:52:16,406 - prism_parser.py - found the following specification: constraints: P>=9/10 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:16,407 - jani.py - constructing JANI program...
2024-01-03 18:52:16,418 - jani.py - constructing the quotient...
2024-01-03 18:52:16,907 - jani.py - associating choices of the quotient with hole assignments...
2024-01-03 18:52:17,057 - sketch.py - sketch parsing OK
2024-01-03 18:52:17,058 - sketch.py - constructed explicit quotient having 8767 states and 117194 actions
2024-01-03 18:52:17,058 - sketch.py - found the following specification constraints: P>=9/10 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:17,140 - mdp_family.py - associating choices with action labels...
2024-01-03 18:52:17,262 - synthesizer.py - evaluation initiated, design space: 131220
> Progress 12.032%, elapsed 189 s, estimated 1574 s, iters = {MDP: 15790}
> Progress 12.208%, elapsed 192 s, estimated 1576 s, iters = {MDP: 16021}
> Progress 12.384%, elapsed 195 s, estimated 1577 s, iters = {MDP: 16252}
> Progress 12.586%, elapsed 198 s, estimated 1576 s, iters = {MDP: 16517}
> Progress 12.793%, elapsed 201 s, estimated 1574 s, iters = {MDP: 16789}
> Progress 12.97%, elapsed 204 s, estimated 1576 s, iters = {MDP: 17021}
> Progress 13.133%, elapsed 207 s, estimated 1579 s, iters = {MDP: 17235}
> Progress 13.312%, elapsed 210 s, estimated 1580 s, iters = {MDP: 17470}
> Progress 13.498%, elapsed 213 s, estimated 1581 s, iters = {MDP: 17714}
> Progress 13.697%, elapsed 216 s, estimated 1580 s, iters = {MDP: 17975}
> Progress 13.904%, elapsed 219 s, estimated 1578 s, iters = {MDP: 18247}
> Progress 14.11%, elapsed 222 s, estimated 1576 s, iters = {MDP: 18517}
> Progress 14.295%, elapsed 225 s, estimated 1577 s, iters = {MDP: 18760}
> Progress 14.481%, elapsed 228 s, estimated 1577 s, iters = {MDP: 19004}
> Progress 14.667%, elapsed 231 s, estimated 1578 s, iters = {MDP: 19248}
> Progress 14.855%, elapsed 234 s, estimated 1578 s, iters = {MDP: 19495}
> Progress 15.066%, elapsed 237 s, estimated 1576 s, iters = {MDP: 19771}
> Progress 15.278%, elapsed 240 s, estimated 1574 s, iters = {MDP: 20049}
> Progress 15.469%, elapsed 243 s, estimated 1574 s, iters = {MDP: 20300}
> Progress 15.658%, elapsed 246 s, estimated 1574 s, iters = {MDP: 20548}
> Progress 15.843%, elapsed 249 s, estimated 1574 s, iters = {MDP: 20791}
> Progress 16.028%, elapsed 252 s, estimated 1575 s, iters = {MDP: 21033}
> Progress 16.215%, elapsed 255 s, estimated 1575 s, iters = {MDP: 21279}
> Progress 16.399%, elapsed 258 s, estimated 1576 s, iters = {MDP: 21520}
> Progress 16.596%, elapsed 261 s, estimated 1575 s, iters = {MDP: 21779}
> Progress 16.778%, elapsed 264 s, estimated 1576 s, iters = {MDP: 22018}
> Progress 16.95%, elapsed 267 s, estimated 1578 s, iters = {MDP: 22244}
> Progress 17.119%, elapsed 270 s, estimated 1580 s, iters = {MDP: 22465}
> Progress 17.264%, elapsed 273 s, estimated 1584 s, iters = {MDP: 22655}
> Progress 17.458%, elapsed 276 s, estimated 1584 s, iters = {MDP: 22910}
> Progress 17.657%, elapsed 279 s, estimated 1583 s, iters = {MDP: 23171}
> Progress 17.852%, elapsed 282 s, estimated 1582 s, iters = {MDP: 23427}
> Progress 18.033%, elapsed 285 s, estimated 1583 s, iters = {MDP: 23665}
> Progress 18.211%, elapsed 288 s, estimated 1584 s, iters = {MDP: 23898}
> Progress 18.385%, elapsed 291 s, estimated 1586 s, iters = {MDP: 24126}
> Progress 18.565%, elapsed 294 s, estimated 1587 s, iters = {MDP: 24362}
> Progress 18.762%, elapsed 297 s, estimated 1586 s, iters = {MDP: 24621}
> Progress 18.947%, elapsed 300 s, estimated 1586 s, iters = {MDP: 24864}
> Progress 19.132%, elapsed 303 s, estimated 1587 s, iters = {MDP: 25107}
> Progress 19.309%, elapsed 306 s, estimated 1588 s, iters = {MDP: 25339}
