2024-01-04 19:53:50,081 - cli.py - This is Paynt version 0.1.0.
2024-01-04 19:53:50,081 - sketch.py - loading sketch from models/mdp/sketches/uav/roz-big/sketch.templ ...
2024-01-04 19:53:50,081 - sketch.py - assuming sketch in PRISM format...
2024-01-04 19:53:50,089 - prism_parser.py - PRISM model type: MDP
2024-01-04 19:53:50,089 - prism_parser.py - processing hole definitions...
2024-01-04 19:53:50,090 - prism_parser.py - loading properties from models/mdp/sketches/uav/roz-big/sketch.props ...
2024-01-04 19:53:50,091 - prism_parser.py - found the following specification: constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-04 19:53:50,091 - jani.py - constructing JANI program...
2024-01-04 19:53:50,102 - jani.py - constructing the quotient...
2024-01-04 19:53:50,821 - jani.py - associating choices of the quotient with hole assignments...
2024-01-04 19:53:50,986 - sketch.py - sketch parsing OK
2024-01-04 19:53:50,987 - sketch.py - constructed explicit quotient having 17927 states and 192109 actions
2024-01-04 19:53:50,987 - sketch.py - found the following specification constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-04 19:53:51,086 - mdp_family.py - associating choices with action labels...
2024-01-04 19:53:51,342 - synthesizer.py - evaluation initiated, design space: 40500
> Progress 44.264%, elapsed 195 s, estimated 441 s, iters = {MDP: 17928}
> Progress 44.632%, elapsed 198 s, estimated 444 s, iters = {MDP: 18077}
> Progress 44.997%, elapsed 201 s, estimated 447 s, iters = {MDP: 18225}
> Progress 45.291%, elapsed 204 s, estimated 451 s, iters = {MDP: 18344}
> Progress 45.585%, elapsed 207 s, estimated 455 s, iters = {MDP: 18463}
> Progress 45.874%, elapsed 210 s, estimated 458 s, iters = {MDP: 18580}
> Progress 46.172%, elapsed 213 s, estimated 462 s, iters = {MDP: 18701}
> Progress 46.491%, elapsed 216 s, estimated 465 s, iters = {MDP: 18830}
> Progress 46.802%, elapsed 219 s, estimated 469 s, iters = {MDP: 18956}
> Progress 47.113%, elapsed 222 s, estimated 472 s, iters = {MDP: 19082}
> Progress 47.404%, elapsed 225 s, estimated 475 s, iters = {MDP: 19200}
> Progress 47.701%, elapsed 228 s, estimated 479 s, iters = {MDP: 19320}
> Progress 48.019%, elapsed 231 s, estimated 482 s, iters = {MDP: 19449}
> Progress 48.345%, elapsed 234 s, estimated 485 s, iters = {MDP: 19581}
> Progress 48.671%, elapsed 237 s, estimated 488 s, iters = {MDP: 19713}
> Progress 48.992%, elapsed 240 s, estimated 491 s, iters = {MDP: 19843}
> Progress 49.323%, elapsed 243 s, estimated 493 s, iters = {MDP: 19977}
> Progress 49.651%, elapsed 246 s, estimated 496 s, iters = {MDP: 20110}
> Progress 49.972%, elapsed 249 s, estimated 499 s, iters = {MDP: 20240}
