2024-01-04 20:01:16,072 - cli.py - This is Paynt version 0.1.0.
2024-01-04 20:01:16,072 - sketch.py - loading sketch from models/mdp/sketches/uav/operator-big/sketch.templ ...
2024-01-04 20:01:16,072 - sketch.py - assuming sketch in PRISM format...
2024-01-04 20:01:16,080 - prism_parser.py - PRISM model type: MDP
2024-01-04 20:01:16,080 - prism_parser.py - processing hole definitions...
2024-01-04 20:01:16,080 - prism_parser.py - loading properties from models/mdp/sketches/uav/operator-big/sketch.props ...
2024-01-04 20:01:16,081 - prism_parser.py - found the following specification: constraints: P>=4/5 [F ((w1 & w2) & w6)]; 
2024-01-04 20:01:16,081 - jani.py - constructing JANI program...
2024-01-04 20:01:16,119 - jani.py - constructing the quotient...
2024-01-04 20:01:16,745 - jani.py - associating choices of the quotient with hole assignments...
2024-01-04 20:01:16,947 - sketch.py - sketch parsing OK
2024-01-04 20:01:16,948 - sketch.py - constructed explicit quotient having 17927 states and 170585 actions
2024-01-04 20:01:16,948 - sketch.py - found the following specification constraints: P>=4/5 [F ((w1 & w2) & w6)]; 
2024-01-04 20:01:17,033 - mdp_family.py - associating choices with action labels...
2024-01-04 20:01:17,278 - synthesizer.py - evaluation initiated, design space: 40000
> Progress 46.157%, elapsed 195 s, estimated 423 s, iters = {MDP: 18464}
> Progress 46.487%, elapsed 198 s, estimated 426 s, iters = {MDP: 18596}
> Progress 46.812%, elapsed 201 s, estimated 430 s, iters = {MDP: 18726}
> Progress 47.145%, elapsed 204 s, estimated 433 s, iters = {MDP: 18859}
> Progress 47.477%, elapsed 207 s, estimated 436 s, iters = {MDP: 18992}
> Progress 47.807%, elapsed 210 s, estimated 440 s, iters = {MDP: 19124}
> Progress 48.142%, elapsed 213 s, estimated 443 s, iters = {MDP: 19258}
> Progress 48.48%, elapsed 216 s, estimated 446 s, iters = {MDP: 19393}
> Progress 48.817%, elapsed 219 s, estimated 449 s, iters = {MDP: 19528}
> Progress 49.145%, elapsed 222 s, estimated 452 s, iters = {MDP: 19659}
> Progress 49.48%, elapsed 225 s, estimated 455 s, iters = {MDP: 19793}
> Progress 49.822%, elapsed 228 s, estimated 458 s, iters = {MDP: 19930}
> Progress 50.122%, elapsed 231 s, estimated 461 s, iters = {MDP: 20050}
> Progress 50.39%, elapsed 234 s, estimated 465 s, iters = {MDP: 20157}
> Progress 50.654%, elapsed 237 s, estimated 469 s, iters = {MDP: 20263}
> Progress 50.93%, elapsed 240 s, estimated 472 s, iters = {MDP: 20373}
> Progress 51.205%, elapsed 243 s, estimated 475 s, iters = {MDP: 20483}
> Progress 51.487%, elapsed 246 s, estimated 479 s, iters = {MDP: 20596}
> Progress 51.767%, elapsed 249 s, estimated 482 s, iters = {MDP: 20708}
> Progress 52.045%, elapsed 252 s, estimated 485 s, iters = {MDP: 20819}
> Progress 52.327%, elapsed 255 s, estimated 488 s, iters = {MDP: 20932}
> Progress 52.615%, elapsed 258 s, estimated 491 s, iters = {MDP: 21047}
> Progress 52.905%, elapsed 261 s, estimated 494 s, iters = {MDP: 21163}
> Progress 53.195%, elapsed 264 s, estimated 497 s, iters = {MDP: 21279}
> Progress 53.485%, elapsed 267 s, estimated 500 s, iters = {MDP: 21395}
> Progress 53.777%, elapsed 270 s, estimated 503 s, iters = {MDP: 21512}
> Progress 54.067%, elapsed 273 s, estimated 506 s, iters = {MDP: 21628}
> Progress 54.35%, elapsed 276 s, estimated 509 s, iters = {MDP: 21741}
> Progress 54.642%, elapsed 279 s, estimated 512 s, iters = {MDP: 21858}
> Progress 54.93%, elapsed 282 s, estimated 514 s, iters = {MDP: 21973}
> Progress 55.172%, elapsed 285 s, estimated 518 s, iters = {MDP: 22070}
> Progress 55.407%, elapsed 288 s, estimated 521 s, iters = {MDP: 22164}
> Progress 55.637%, elapsed 291 s, estimated 524 s, iters = {MDP: 22256}
