2023-12-19 13:27:54,243 - cli.py - This is Paynt version 0.1.0.
2023-12-19 13:27:54,243 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/roz/sketch.templ ...
2023-12-19 13:27:54,244 - sketch.py - assuming sketch in PRISM format...
2023-12-19 13:27:54,256 - prism_parser.py - PRISM model type: MDP
2023-12-19 13:27:54,256 - prism_parser.py - processing hole definitions...
2023-12-19 13:27:54,257 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/roz/sketch.props ...
2023-12-19 13:27:54,258 - prism_parser.py - found the following specification: constraints: P>=9/10 [F ((w1 & w2) & w6)]; 
2023-12-19 13:27:54,258 - jani.py - constructing JANI program...
2023-12-19 13:27:54,269 - jani.py - constructing the quotient...
2023-12-19 13:27:54,998 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 13:27:55,156 - sketch.py - sketch parsing OK
2023-12-19 13:27:55,156 - sketch.py - constructed explicit quotient having 17927 states and 191629 actions
2023-12-19 13:27:55,156 - sketch.py - found the following specification constraints: P>=9/10 [F ((w1 & w2) & w6)]; 
2023-12-19 13:27:55,256 - mdp_family.py - associating choices with action labels...
2023-12-19 13:27:55,492 - synthesizer.py - evaluation initiated, design space: 4500
> Progress 27.444%, elapsed 202 s, estimated 737 s, iters = {MDP: 1236}
> Progress 27.755%, elapsed 205 s, estimated 739 s, iters = {MDP: 1250}
> Progress 28.088%, elapsed 208 s, estimated 742 s, iters = {MDP: 1265}
> Progress 28.377%, elapsed 211 s, estimated 745 s, iters = {MDP: 1278}
> Progress 28.666%, elapsed 214 s, estimated 749 s, iters = {MDP: 1291}
> Progress 28.977%, elapsed 217 s, estimated 751 s, iters = {MDP: 1305}
> Progress 29.444%, elapsed 221 s, estimated 751 s, iters = {MDP: 1326}
> Progress 29.866%, elapsed 224 s, estimated 750 s, iters = {MDP: 1345}
> Progress 30.4%, elapsed 227 s, estimated 747 s, iters = {MDP: 1369}
> Progress 31.022%, elapsed 230 s, estimated 742 s, iters = {MDP: 1397}
> Progress 31.8%, elapsed 233 s, estimated 734 s, iters = {MDP: 1432}
> Progress 32.533%, elapsed 236 s, estimated 728 s, iters = {MDP: 1465}
> Progress 32.822%, elapsed 239 s, estimated 730 s, iters = {MDP: 1478}
> Progress 33.133%, elapsed 243 s, estimated 733 s, iters = {MDP: 1492}
> Progress 33.511%, elapsed 246 s, estimated 734 s, iters = {MDP: 1509}
> Progress 34.222%, elapsed 249 s, estimated 728 s, iters = {MDP: 1541}
> Progress 34.822%, elapsed 252 s, estimated 724 s, iters = {MDP: 1568}
> Progress 35.466%, elapsed 255 s, estimated 720 s, iters = {MDP: 1597}
> Progress 36.177%, elapsed 258 s, estimated 714 s, iters = {MDP: 1629}
> Progress 36.444%, elapsed 261 s, estimated 718 s, iters = {MDP: 1641}
> Progress 36.955%, elapsed 264 s, estimated 716 s, iters = {MDP: 1664}
> Progress 37.266%, elapsed 268 s, estimated 719 s, iters = {MDP: 1678}
> Progress 37.822%, elapsed 271 s, estimated 716 s, iters = {MDP: 1703}
> Progress 38.333%, elapsed 274 s, estimated 715 s, iters = {MDP: 1726}
> Progress 38.688%, elapsed 277 s, estimated 716 s, iters = {MDP: 1742}
> Progress 39.044%, elapsed 280 s, estimated 718 s, iters = {MDP: 1758}
> Progress 39.4%, elapsed 283 s, estimated 720 s, iters = {MDP: 1774}
> Progress 39.777%, elapsed 287 s, estimated 721 s, iters = {MDP: 1791}
> Progress 40.044%, elapsed 290 s, estimated 724 s, iters = {MDP: 1803}
> Progress 40.666%, elapsed 293 s, estimated 721 s, iters = {MDP: 1831}
> Progress 40.933%, elapsed 296 s, estimated 724 s, iters = {MDP: 1843}
> Progress 41.533%, elapsed 299 s, estimated 720 s, iters = {MDP: 1870}
> Progress 42.222%, elapsed 302 s, estimated 716 s, iters = {MDP: 1901}
> Progress 42.644%, elapsed 305 s, estimated 716 s, iters = {MDP: 1920}
> Progress 43.022%, elapsed 308 s, estimated 717 s, iters = {MDP: 1937}
> Progress 43.288%, elapsed 311 s, estimated 720 s, iters = {MDP: 1949}
> Progress 43.555%, elapsed 315 s, estimated 723 s, iters = {MDP: 1961}
> Progress 43.888%, elapsed 318 s, estimated 725 s, iters = {MDP: 1976}
> Progress 44.155%, elapsed 321 s, estimated 728 s, iters = {MDP: 1988}
> Progress 44.888%, elapsed 324 s, estimated 723 s, iters = {MDP: 2021}
> Progress 45.133%, elapsed 327 s, estimated 726 s, iters = {MDP: 2032}
> Progress 45.377%, elapsed 331 s, estimated 729 s, iters = {MDP: 2043}
> Progress 45.733%, elapsed 334 s, estimated 730 s, iters = {MDP: 2059}
> Progress 46.066%, elapsed 337 s, estimated 732 s, iters = {MDP: 2074}
> Progress 46.622%, elapsed 340 s, estimated 730 s, iters = {MDP: 2099}
> Progress 46.933%, elapsed 343 s, estimated 732 s, iters = {MDP: 2113}
> Progress 47.4%, elapsed 347 s, estimated 732 s, iters = {MDP: 2134}
> Progress 47.711%, elapsed 350 s, estimated 733 s, iters = {MDP: 2148}
> Progress 47.955%, elapsed 353 s, estimated 736 s, iters = {MDP: 2159}
> Progress 48.2%, elapsed 356 s, estimated 739 s, iters = {MDP: 2170}
> Progress 48.488%, elapsed 359 s, estimated 741 s, iters = {MDP: 2183}
> Progress 48.933%, elapsed 362 s, estimated 740 s, iters = {MDP: 2203}
> Progress 49.355%, elapsed 365 s, estimated 741 s, iters = {MDP: 2222}
> Progress 49.644%, elapsed 368 s, estimated 743 s, iters = {MDP: 2235}
> Progress 49.888%, elapsed 371 s, estimated 745 s, iters = {MDP: 2246}
> Progress 50.133%, elapsed 375 s, estimated 748 s, iters = {MDP: 2257}
> Progress 50.377%, elapsed 378 s, estimated 750 s, iters = {MDP: 2268}
> Progress 50.622%, elapsed 381 s, estimated 753 s, iters = {MDP: 2279}
> Progress 50.866%, elapsed 384 s, estimated 755 s, iters = {MDP: 2290}
> Progress 51.111%, elapsed 387 s, estimated 758 s, iters = {MDP: 2301}
> Progress 52.333%, elapsed 390 s, estimated 746 s, iters = {MDP: 2356}
> Progress 52.733%, elapsed 393 s, estimated 746 s, iters = {MDP: 2374}
> Progress 53.022%, elapsed 397 s, estimated 748 s, iters = {MDP: 2387}
> Progress 53.644%, elapsed 400 s, estimated 746 s, iters = {MDP: 2415}
> Progress 53.888%, elapsed 403 s, estimated 748 s, iters = {MDP: 2426}
> Progress 54.133%, elapsed 406 s, estimated 750 s, iters = {MDP: 2437}
> Progress 54.377%, elapsed 409 s, estimated 753 s, iters = {MDP: 2448}
> Progress 55.288%, elapsed 412 s, estimated 746 s, iters = {MDP: 2489}
> Progress 56.333%, elapsed 415 s, estimated 737 s, iters = {MDP: 2536}
> Progress 56.755%, elapsed 418 s, estimated 737 s, iters = {MDP: 2555}
> Progress 57.355%, elapsed 421 s, estimated 735 s, iters = {MDP: 2582}
> Progress 57.711%, elapsed 424 s, estimated 736 s, iters = {MDP: 2598}
> Progress 58.377%, elapsed 428 s, estimated 733 s, iters = {MDP: 2628}
> Progress 58.622%, elapsed 431 s, estimated 735 s, iters = {MDP: 2639}
> Progress 58.888%, elapsed 434 s, estimated 737 s, iters = {MDP: 2651}
> Progress 59.133%, elapsed 437 s, estimated 739 s, iters = {MDP: 2662}
> Progress 59.644%, elapsed 440 s, estimated 738 s, iters = {MDP: 2685}
> Progress 59.911%, elapsed 443 s, estimated 740 s, iters = {MDP: 2697}
> Progress 60.222%, elapsed 446 s, estimated 742 s, iters = {MDP: 2711}
> Progress 60.888%, elapsed 450 s, estimated 739 s, iters = {MDP: 2741}
> Progress 61.2%, elapsed 453 s, estimated 740 s, iters = {MDP: 2755}
> Progress 61.488%, elapsed 456 s, estimated 742 s, iters = {MDP: 2768}
> Progress 61.844%, elapsed 459 s, estimated 743 s, iters = {MDP: 2784}
> Progress 62.155%, elapsed 462 s, estimated 744 s, iters = {MDP: 2798}
> Progress 64.555%, elapsed 465 s, estimated 721 s, iters = {MDP: 2906}
> Progress 67.244%, elapsed 469 s, estimated 697 s, iters = {MDP: 3027}
> Progress 67.533%, elapsed 472 s, estimated 699 s, iters = {MDP: 3040}
> Progress 67.866%, elapsed 475 s, estimated 700 s, iters = {MDP: 3055}
> Progress 68.133%, elapsed 478 s, estimated 702 s, iters = {MDP: 3067}
> Progress 68.333%, elapsed 481 s, estimated 704 s, iters = {MDP: 3076}
> Progress 68.8%, elapsed 484 s, estimated 704 s, iters = {MDP: 3097}
> Progress 69.088%, elapsed 488 s, estimated 706 s, iters = {MDP: 3110}
> Progress 69.311%, elapsed 491 s, estimated 708 s, iters = {MDP: 3120}
> Progress 69.755%, elapsed 494 s, estimated 708 s, iters = {MDP: 3140}
> Progress 69.977%, elapsed 497 s, estimated 710 s, iters = {MDP: 3150}
> Progress 70.2%, elapsed 500 s, estimated 712 s, iters = {MDP: 3160}
> Progress 70.422%, elapsed 503 s, estimated 715 s, iters = {MDP: 3170}
> Progress 70.644%, elapsed 507 s, estimated 717 s, iters = {MDP: 3180}
> Progress 71.088%, elapsed 510 s, estimated 717 s, iters = {MDP: 3200}
> Progress 71.311%, elapsed 513 s, estimated 719 s, iters = {MDP: 3210}
> Progress 71.555%, elapsed 516 s, estimated 721 s, iters = {MDP: 3221}
> Progress 72.0%, elapsed 519 s, estimated 721 s, iters = {MDP: 3241}
> Progress 72.311%, elapsed 522 s, estimated 722 s, iters = {MDP: 3255}
> Progress 72.6%, elapsed 525 s, estimated 724 s, iters = {MDP: 3268}
> Progress 72.822%, elapsed 528 s, estimated 726 s, iters = {MDP: 3278}
> Progress 73.266%, elapsed 532 s, estimated 726 s, iters = {MDP: 3298}
> Progress 73.488%, elapsed 535 s, estimated 728 s, iters = {MDP: 3308}
> Progress 73.711%, elapsed 538 s, estimated 730 s, iters = {MDP: 3318}
> Progress 73.911%, elapsed 541 s, estimated 732 s, iters = {MDP: 3327}
> Progress 74.133%, elapsed 544 s, estimated 734 s, iters = {MDP: 3337}
> Progress 74.377%, elapsed 547 s, estimated 736 s, iters = {MDP: 3348}
> Progress 74.644%, elapsed 550 s, estimated 737 s, iters = {MDP: 3360}
> Progress 74.888%, elapsed 553 s, estimated 739 s, iters = {MDP: 3371}
> Progress 75.133%, elapsed 557 s, estimated 741 s, iters = {MDP: 3382}
> Progress 75.377%, elapsed 560 s, estimated 743 s, iters = {MDP: 3393}
> Progress 75.688%, elapsed 563 s, estimated 744 s, iters = {MDP: 3407}
> Progress 75.911%, elapsed 566 s, estimated 745 s, iters = {MDP: 3417}
> Progress 76.133%, elapsed 569 s, estimated 748 s, iters = {MDP: 3427}
> Progress 76.577%, elapsed 572 s, estimated 747 s, iters = {MDP: 3447}
> Progress 76.888%, elapsed 575 s, estimated 748 s, iters = {MDP: 3461}
> Progress 77.155%, elapsed 578 s, estimated 750 s, iters = {MDP: 3473}
> Progress 77.4%, elapsed 582 s, estimated 751 s, iters = {MDP: 3484}
> Progress 77.622%, elapsed 585 s, estimated 753 s, iters = {MDP: 3494}
> Progress 77.955%, elapsed 588 s, estimated 754 s, iters = {MDP: 3509}
