2024-01-08 19:58:43,275 - cli.py - This is Paynt version 0.1.0.
2024-01-08 19:58:43,275 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/dpm/int-holes/switch-big-q10/sketch.templ ...
2024-01-08 19:58:43,275 - sketch.py - assuming sketch in PRISM format...
2024-01-08 19:58:43,277 - prism_parser.py - PRISM model type: MDP
2024-01-08 19:58:43,277 - prism_parser.py - processing hole definitions...
2024-01-08 19:58:43,278 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/dpm/int-holes/switch-big-q10/sketch.props ...
2024-01-08 19:58:43,278 - prism_parser.py - found the following specification: constraints: P>=9/10 [F ((bat = 0) & (lost = 0))]; 
2024-01-08 19:58:43,278 - jani.py - constructing JANI program...
2024-01-08 19:58:43,284 - jani.py - constructing the quotient...
2024-01-08 19:58:43,713 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 19:58:43,882 - sketch.py - sketch parsing OK
2024-01-08 19:58:43,883 - sketch.py - constructed explicit quotient having 8767 states and 117194 actions
2024-01-08 19:58:43,883 - sketch.py - found the following specification constraints: P>=9/10 [F ((bat = 0) & (lost = 0))]; 
2024-01-08 19:58:43,979 - mdp_family.py - associating choices with action labels...
2024-01-08 19:58:44,075 - synthesizer.py - evaluation initiated, design space: 131220
> Progress 12.303%, elapsed 186 s, estimated 1515 s, iters = {MDP: 16146}
> Progress 12.519%, elapsed 189 s, estimated 1512 s, iters = {MDP: 16429}
> Progress 12.749%, elapsed 192 s, estimated 1509 s, iters = {MDP: 16731}
> Progress 12.964%, elapsed 195 s, estimated 1507 s, iters = {MDP: 17013}
> Progress 13.167%, elapsed 198 s, estimated 1506 s, iters = {MDP: 17280}
> Progress 13.369%, elapsed 201 s, estimated 1506 s, iters = {MDP: 17544}
> Progress 13.562%, elapsed 204 s, estimated 1507 s, iters = {MDP: 17798}
> Progress 13.766%, elapsed 207 s, estimated 1506 s, iters = {MDP: 18065}
> Progress 13.993%, elapsed 210 s, estimated 1503 s, iters = {MDP: 18363}
> Progress 14.205%, elapsed 213 s, estimated 1502 s, iters = {MDP: 18642}
> Progress 14.407%, elapsed 216 s, estimated 1502 s, iters = {MDP: 18907}
> Progress 14.607%, elapsed 219 s, estimated 1502 s, iters = {MDP: 19169}
> Progress 14.807%, elapsed 222 s, estimated 1502 s, iters = {MDP: 19431}
> Progress 15.028%, elapsed 225 s, estimated 1500 s, iters = {MDP: 19721}
> Progress 15.245%, elapsed 228 s, estimated 1498 s, iters = {MDP: 20006}
> Progress 15.451%, elapsed 231 s, estimated 1498 s, iters = {MDP: 20277}
> Progress 15.646%, elapsed 234 s, estimated 1498 s, iters = {MDP: 20532}
> Progress 15.846%, elapsed 237 s, estimated 1498 s, iters = {MDP: 20795}
> Progress 16.029%, elapsed 240 s, estimated 1500 s, iters = {MDP: 21035}
> Progress 16.216%, elapsed 243 s, estimated 1501 s, iters = {MDP: 21280}
> Progress 16.438%, elapsed 246 s, estimated 1499 s, iters = {MDP: 21572}
> Progress 16.655%, elapsed 249 s, estimated 1498 s, iters = {MDP: 21857}
> Progress 16.861%, elapsed 252 s, estimated 1497 s, iters = {MDP: 22127}
> Progress 17.065%, elapsed 255 s, estimated 1497 s, iters = {MDP: 22394}
> Progress 17.232%, elapsed 258 s, estimated 1500 s, iters = {MDP: 22613}
> Progress 17.446%, elapsed 261 s, estimated 1499 s, iters = {MDP: 22894}
> Progress 17.674%, elapsed 264 s, estimated 1496 s, iters = {MDP: 23193}
> Progress 17.889%, elapsed 267 s, estimated 1495 s, iters = {MDP: 23476}
> Progress 18.085%, elapsed 270 s, estimated 1496 s, iters = {MDP: 23733}
> Progress 18.268%, elapsed 273 s, estimated 1497 s, iters = {MDP: 23973}
> Progress 18.455%, elapsed 276 s, estimated 1498 s, iters = {MDP: 24218}
> Progress 18.64%, elapsed 279 s, estimated 1499 s, iters = {MDP: 24461}
> Progress 18.796%, elapsed 282 s, estimated 1503 s, iters = {MDP: 24666}
> Progress 19.003%, elapsed 285 s, estimated 1502 s, iters = {MDP: 24937}
> Progress 19.183%, elapsed 288 s, estimated 1504 s, iters = {MDP: 25174}
> Progress 19.374%, elapsed 291 s, estimated 1505 s, iters = {MDP: 25424}
> Progress 19.577%, elapsed 294 s, estimated 1504 s, iters = {MDP: 25691}
> Progress 19.782%, elapsed 297 s, estimated 1504 s, iters = {MDP: 25960}
