2024-01-08 19:51:21,398 - cli.py - This is Paynt version 0.1.0.
2024-01-08 19:51:21,398 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/dpm/int-holes/switch/sketch.templ ...
2024-01-08 19:51:21,398 - sketch.py - assuming sketch in PRISM format...
2024-01-08 19:51:21,401 - prism_parser.py - PRISM model type: MDP
2024-01-08 19:51:21,401 - prism_parser.py - processing hole definitions...
2024-01-08 19:51:21,401 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/dpm/int-holes/switch/sketch.props ...
2024-01-08 19:51:21,402 - prism_parser.py - found the following specification: constraints: P>=19/20 [F ((bat = 0) & (lost = 0))]; 
2024-01-08 19:51:21,402 - jani.py - constructing JANI program...
2024-01-08 19:51:21,486 - jani.py - constructing the quotient...
2024-01-08 19:51:22,277 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 19:51:22,590 - sketch.py - sketch parsing OK
2024-01-08 19:51:22,590 - sketch.py - constructed explicit quotient having 1594 states and 186170 actions
2024-01-08 19:51:22,590 - sketch.py - found the following specification constraints: P>=19/20 [F ((bat = 0) & (lost = 0))]; 
2024-01-08 19:51:22,732 - mdp_family.py - associating choices with action labels...
2024-01-08 19:51:22,894 - synthesizer.py - evaluation initiated, design space: 1312200
> Progress 3.677%, elapsed 186 s, estimated 5061 s, iters = {MDP: 48254}
> Progress 3.729%, elapsed 189 s, estimated 5071 s, iters = {MDP: 48934}
> Progress 3.806%, elapsed 192 s, estimated 5047 s, iters = {MDP: 49956}
> Progress 3.881%, elapsed 195 s, estimated 5027 s, iters = {MDP: 50932}
> Progress 3.957%, elapsed 198 s, estimated 5006 s, iters = {MDP: 51936}
> Progress 4.023%, elapsed 201 s, estimated 4999 s, iters = {MDP: 52792}
> Progress 4.091%, elapsed 204 s, estimated 4989 s, iters = {MDP: 53692}
> Progress 4.152%, elapsed 207 s, estimated 4988 s, iters = {MDP: 54496}
> Progress 4.202%, elapsed 210 s, estimated 5001 s, iters = {MDP: 55140}
> Progress 4.259%, elapsed 213 s, estimated 5004 s, iters = {MDP: 55892}
> Progress 4.319%, elapsed 216 s, estimated 5004 s, iters = {MDP: 56676}
> Progress 4.378%, elapsed 219 s, estimated 5005 s, iters = {MDP: 57458}
> Progress 4.439%, elapsed 222 s, estimated 5004 s, iters = {MDP: 58250}
> Progress 4.496%, elapsed 225 s, estimated 5007 s, iters = {MDP: 59003}
> Progress 4.552%, elapsed 228 s, estimated 5012 s, iters = {MDP: 59736}
> Progress 4.606%, elapsed 231 s, estimated 5018 s, iters = {MDP: 60449}
> Progress 4.659%, elapsed 234 s, estimated 5025 s, iters = {MDP: 61143}
> Progress 4.709%, elapsed 237 s, estimated 5036 s, iters = {MDP: 61799}
> Progress 4.76%, elapsed 240 s, estimated 5045 s, iters = {MDP: 62463}
> Progress 4.807%, elapsed 243 s, estimated 5058 s, iters = {MDP: 63079}
> Progress 4.852%, elapsed 246 s, estimated 5073 s, iters = {MDP: 63669}
> Progress 4.893%, elapsed 249 s, estimated 5092 s, iters = {MDP: 64211}
> Progress 4.936%, elapsed 252 s, estimated 5108 s, iters = {MDP: 64779}
> Progress 5.015%, elapsed 255 s, estimated 5088 s, iters = {MDP: 65811}
> Progress 5.093%, elapsed 258 s, estimated 5069 s, iters = {MDP: 66837}
> Progress 5.174%, elapsed 261 s, estimated 5048 s, iters = {MDP: 67895}
> Progress 5.248%, elapsed 264 s, estimated 5034 s, iters = {MDP: 68868}
> Progress 5.316%, elapsed 267 s, estimated 5026 s, iters = {MDP: 69760}
> Progress 5.378%, elapsed 270 s, estimated 5024 s, iters = {MDP: 70572}
> Progress 5.443%, elapsed 273 s, estimated 5018 s, iters = {MDP: 71434}
> Progress 5.507%, elapsed 276 s, estimated 5014 s, iters = {MDP: 72272}
> Progress 5.565%, elapsed 279 s, estimated 5016 s, iters = {MDP: 73031}
> Progress 5.622%, elapsed 282 s, estimated 5019 s, iters = {MDP: 73773}
> Progress 5.68%, elapsed 285 s, estimated 5021 s, iters = {MDP: 74538}
> Progress 5.738%, elapsed 288 s, estimated 5022 s, iters = {MDP: 75305}
> Progress 5.793%, elapsed 291 s, estimated 5026 s, iters = {MDP: 76019}
> Progress 5.844%, elapsed 294 s, estimated 5034 s, iters = {MDP: 76687}
> Progress 5.895%, elapsed 297 s, estimated 5041 s, iters = {MDP: 77357}
