2024-01-08 18:54:05,992 - cli.py - This is Paynt version 0.1.0.
2024-01-08 18:54:05,992 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/obstacles/10-6-skip/sketch.templ ...
2024-01-08 18:54:05,992 - sketch.py - assuming sketch in PRISM format...
2024-01-08 18:54:05,995 - prism_parser.py - PRISM model type: MDP
2024-01-08 18:54:05,995 - prism_parser.py - processing hole definitions...
2024-01-08 18:54:05,996 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/obstacles/10-6-skip/sketch.props ...
2024-01-08 18:54:05,997 - prism_parser.py - found the following specification: constraints: P>9/10 [F ((x = 10) & (y = 10))]; 
2024-01-08 18:54:05,997 - jani.py - constructing JANI program...
2024-01-08 18:54:06,000 - jani.py - constructing the quotient...
2024-01-08 18:54:06,016 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 18:54:06,018 - sketch.py - sketch parsing OK
2024-01-08 18:54:06,018 - sketch.py - constructed explicit quotient having 754 states and 1603 actions
2024-01-08 18:54:06,018 - sketch.py - found the following specification constraints: P>9/10 [F ((x = 10) & (y = 10))]; 
2024-01-08 18:54:06,018 - mdp_family.py - associating choices with action labels...
2024-01-08 18:54:06,043 - synthesizer.py - evaluation initiated, design space: 944784
> Progress 25.909%, elapsed 192 s, estimated 741 s, iters = {MDP: 244793}
> Progress 26.31%, elapsed 195 s, estimated 741 s, iters = {MDP: 248576}
> Progress 26.704%, elapsed 198 s, estimated 741 s, iters = {MDP: 252301}
> Progress 27.099%, elapsed 201 s, estimated 741 s, iters = {MDP: 256030}
> Progress 27.485%, elapsed 204 s, estimated 742 s, iters = {MDP: 259678}
> Progress 27.9%, elapsed 207 s, estimated 742 s, iters = {MDP: 263603}
> Progress 28.241%, elapsed 210 s, estimated 743 s, iters = {MDP: 266821}
> Progress 28.636%, elapsed 213 s, estimated 744 s, iters = {MDP: 270552}
> Progress 29.024%, elapsed 216 s, estimated 744 s, iters = {MDP: 274217}
> Progress 29.404%, elapsed 219 s, estimated 744 s, iters = {MDP: 277813}
> Progress 29.795%, elapsed 222 s, estimated 745 s, iters = {MDP: 281506}
> Progress 30.169%, elapsed 225 s, estimated 745 s, iters = {MDP: 285039}
> Progress 30.571%, elapsed 228 s, estimated 746 s, iters = {MDP: 288831}
> Progress 30.966%, elapsed 231 s, estimated 746 s, iters = {MDP: 292571}
> Progress 31.253%, elapsed 234 s, estimated 748 s, iters = {MDP: 295275}
> Progress 31.626%, elapsed 237 s, estimated 749 s, iters = {MDP: 298803}
> Progress 32.03%, elapsed 240 s, estimated 749 s, iters = {MDP: 302618}
> Progress 32.425%, elapsed 243 s, estimated 749 s, iters = {MDP: 306352}
> Progress 32.817%, elapsed 246 s, estimated 749 s, iters = {MDP: 310057}
> Progress 33.228%, elapsed 249 s, estimated 749 s, iters = {MDP: 313941}
> Progress 33.634%, elapsed 252 s, estimated 749 s, iters = {MDP: 317777}
> Progress 34.03%, elapsed 255 s, estimated 749 s, iters = {MDP: 321515}
> Progress 34.433%, elapsed 258 s, estimated 749 s, iters = {MDP: 325319}
> Progress 34.844%, elapsed 261 s, estimated 749 s, iters = {MDP: 329205}
> Progress 35.238%, elapsed 264 s, estimated 749 s, iters = {MDP: 332933}
> Progress 35.651%, elapsed 267 s, estimated 749 s, iters = {MDP: 336831}
> Progress 35.953%, elapsed 270 s, estimated 751 s, iters = {MDP: 339685}
> Progress 36.371%, elapsed 273 s, estimated 750 s, iters = {MDP: 343631}
> Progress 36.79%, elapsed 276 s, estimated 750 s, iters = {MDP: 347595}
> Progress 37.192%, elapsed 279 s, estimated 750 s, iters = {MDP: 351389}
> Progress 37.592%, elapsed 282 s, estimated 750 s, iters = {MDP: 355170}
> Progress 37.984%, elapsed 285 s, estimated 750 s, iters = {MDP: 358869}
> Progress 38.374%, elapsed 288 s, estimated 750 s, iters = {MDP: 362561}
> Progress 38.792%, elapsed 291 s, estimated 750 s, iters = {MDP: 366508}
> Progress 39.216%, elapsed 294 s, estimated 749 s, iters = {MDP: 370513}
> Progress 39.621%, elapsed 297 s, estimated 749 s, iters = {MDP: 374339}
