2024-01-17 19:48:19,474 - cli.py - This is Paynt version 0.1.0.
2024-01-17 19:48:19,474 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-1000/sketch.templ ...
2024-01-17 19:48:19,474 - sketch.py - assuming sketch in PRISM format...
2024-01-17 19:48:19,476 - prism_parser.py - PRISM model type: MDP
2024-01-17 19:48:19,476 - prism_parser.py - processing hole definitions...
2024-01-17 19:48:19,477 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-1000/sketch.props ...
2024-01-17 19:48:19,477 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-17 19:48:19,477 - jani.py - constructing JANI program...
2024-01-17 19:48:19,479 - jani.py - constructing the quotient...
2024-01-17 19:48:20,153 - jani.py - associating choices of the quotient with hole assignments...
2024-01-17 19:48:20,603 - sketch.py - sketch parsing OK
2024-01-17 19:48:20,603 - sketch.py - constructed explicit quotient having 17003 states and 518003 actions
2024-01-17 19:48:20,603 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-17 19:48:20,821 - mdp_family.py - associating choices with action labels...
2024-01-17 19:48:21,180 - synthesizer.py - evaluation initiated, design space: 3779136
> progress 20.316%, elapsed 175 s, estimated 864 s, iters = {game: 2816, MDP: 3632}
> progress 20.328%, elapsed 178 s, estimated 878 s, iters = {game: 2869, MDP: 3668}
> progress 20.337%, elapsed 181 s, estimated 893 s, iters = {game: 2930, MDP: 3718}
> progress 20.341%, elapsed 184 s, estimated 908 s, iters = {game: 2969, MDP: 3754}
> progress 20.348%, elapsed 187 s, estimated 922 s, iters = {game: 3030, MDP: 3806}
> progress 20.354%, elapsed 190 s, estimated 937 s, iters = {game: 3089, MDP: 3860}
> progress 20.357%, elapsed 193 s, estimated 952 s, iters = {game: 3119, MDP: 3887}
> progress 20.361%, elapsed 196 s, estimated 966 s, iters = {game: 3165, MDP: 3929}
> progress 20.365%, elapsed 199 s, estimated 981 s, iters = {game: 3197, MDP: 3958}
> progress 20.91%, elapsed 202 s, estimated 970 s, iters = {game: 3242, MDP: 3992}
> progress 21.236%, elapsed 205 s, estimated 969 s, iters = {game: 3300, MDP: 4088}
> progress 21.238%, elapsed 208 s, estimated 983 s, iters = {game: 3328, MDP: 4145}
> progress 21.241%, elapsed 212 s, estimated 998 s, iters = {game: 3368, MDP: 4216}
> progress 21.244%, elapsed 215 s, estimated 1012 s, iters = {game: 3408, MDP: 4279}
> progress 21.254%, elapsed 218 s, estimated 1025 s, iters = {game: 3464, MDP: 4318}
> progress 21.261%, elapsed 221 s, estimated 1039 s, iters = {game: 3530, MDP: 4411}
> progress 21.263%, elapsed 224 s, estimated 1053 s, iters = {game: 3562, MDP: 4475}
> progress 21.267%, elapsed 227 s, estimated 1068 s, iters = {game: 3601, MDP: 4551}
> progress 21.268%, elapsed 230 s, estimated 1082 s, iters = {game: 3628, MDP: 4605}
> progress 21.276%, elapsed 233 s, estimated 1096 s, iters = {game: 3715, MDP: 4745}
> progress 21.279%, elapsed 236 s, estimated 1109 s, iters = {game: 3760, MDP: 4838}
> progress 21.281%, elapsed 239 s, estimated 1124 s, iters = {game: 3788, MDP: 4888}
> progress 21.283%, elapsed 242 s, estimated 1138 s, iters = {game: 3814, MDP: 4937}
> progress 21.287%, elapsed 245 s, estimated 1152 s, iters = {game: 3857, MDP: 5017}
> progress 21.289%, elapsed 248 s, estimated 1166 s, iters = {game: 3891, MDP: 5082}
> progress 21.291%, elapsed 251 s, estimated 1180 s, iters = {game: 3917, MDP: 5132}
> progress 21.759%, elapsed 254 s, estimated 1169 s, iters = {game: 3975, MDP: 5197}
> progress 22.097%, elapsed 257 s, estimated 1165 s, iters = {game: 4034, MDP: 5251}
> progress 22.099%, elapsed 260 s, estimated 1178 s, iters = {game: 4062, MDP: 5278}
> progress 22.103%, elapsed 263 s, estimated 1192 s, iters = {game: 4103, MDP: 5317}
> progress 22.108%, elapsed 266 s, estimated 1205 s, iters = {game: 4155, MDP: 5382}
> progress 22.112%, elapsed 269 s, estimated 1219 s, iters = {game: 4200, MDP: 5464}
> progress 22.114%, elapsed 272 s, estimated 1232 s, iters = {game: 4231, MDP: 5527}
> progress 22.116%, elapsed 275 s, estimated 1246 s, iters = {game: 4265, MDP: 5593}
> progress 22.123%, elapsed 278 s, estimated 1259 s, iters = {game: 4323, MDP: 5651}
> progress 22.131%, elapsed 281 s, estimated 1273 s, iters = {game: 4364, MDP: 5679}
> progress 22.137%, elapsed 284 s, estimated 1286 s, iters = {game: 4433, MDP: 5743}
> progress 22.14%, elapsed 287 s, estimated 1299 s, iters = {game: 4465, MDP: 5774}
> progress 22.142%, elapsed 290 s, estimated 1313 s, iters = {game: 4503, MDP: 5810}
> progress 22.149%, elapsed 293 s, estimated 1326 s, iters = {game: 4579, MDP: 5880}
> progress 22.153%, elapsed 296 s, estimated 1339 s, iters = {game: 4636, MDP: 5935}
> progress 22.155%, elapsed 299 s, estimated 1353 s, iters = {game: 4667, MDP: 5965}
> progress 22.157%, elapsed 302 s, estimated 1367 s, iters = {game: 4696, MDP: 5993}
> progress 22.161%, elapsed 306 s, estimated 1380 s, iters = {game: 4745, MDP: 6040}
> progress 22.164%, elapsed 309 s, estimated 1394 s, iters = {game: 4778, MDP: 6072}
> progress 22.166%, elapsed 312 s, estimated 1407 s, iters = {game: 4806, MDP: 6100}
> progress 22.176%, elapsed 315 s, estimated 1420 s, iters = {game: 4873, MDP: 6160}
> progress 22.183%, elapsed 318 s, estimated 1434 s, iters = {game: 4922, MDP: 6213}
> progress 22.189%, elapsed 321 s, estimated 1447 s, iters = {game: 4981, MDP: 6323}
> progress 22.19%, elapsed 324 s, estimated 1461 s, iters = {game: 5007, MDP: 6376}
> progress 22.193%, elapsed 327 s, estimated 1474 s, iters = {game: 5046, MDP: 6447}
> progress 22.198%, elapsed 330 s, estimated 1487 s, iters = {game: 5100, MDP: 6528}
> progress 22.202%, elapsed 333 s, estimated 1500 s, iters = {game: 5165, MDP: 6654}
> progress 22.206%, elapsed 336 s, estimated 1514 s, iters = {game: 5207, MDP: 6730}
> progress 22.208%, elapsed 339 s, estimated 1527 s, iters = {game: 5234, MDP: 6783}
> progress 22.21%, elapsed 342 s, estimated 1541 s, iters = {game: 5265, MDP: 6843}
> progress 22.213%, elapsed 345 s, estimated 1555 s, iters = {game: 5311, MDP: 6936}
> progress 22.215%, elapsed 348 s, estimated 1568 s, iters = {game: 5338, MDP: 6986}
> progress 22.217%, elapsed 351 s, estimated 1581 s, iters = {game: 5365, MDP: 7038}
> progress 23.085%, elapsed 354 s, estimated 1535 s, iters = {game: 5436, MDP: 7096}
> progress 23.089%, elapsed 357 s, estimated 1548 s, iters = {game: 5472, MDP: 7128}
> progress 23.093%, elapsed 360 s, estimated 1561 s, iters = {game: 5504, MDP: 7157}
> progress 23.1%, elapsed 363 s, estimated 1574 s, iters = {game: 5549, MDP: 7192}
> progress 23.111%, elapsed 366 s, estimated 1586 s, iters = {game: 5602, MDP: 7230}
> progress 23.115%, elapsed 369 s, estimated 1599 s, iters = {game: 5637, MDP: 7261}
> progress 23.118%, elapsed 372 s, estimated 1612 s, iters = {game: 5667, MDP: 7289}
> progress 23.124%, elapsed 375 s, estimated 1624 s, iters = {game: 5720, MDP: 7334}
> progress 23.13%, elapsed 378 s, estimated 1637 s, iters = {game: 5770, MDP: 7379}
> progress 23.132%, elapsed 381 s, estimated 1650 s, iters = {game: 5802, MDP: 7408}
> progress 23.135%, elapsed 384 s, estimated 1663 s, iters = {game: 5832, MDP: 7436}
> progress 23.139%, elapsed 387 s, estimated 1676 s, iters = {game: 5864, MDP: 7464}
