2024-01-09 22:49:03,795 - cli.py - This is Paynt version 0.1.0.
2024-01-09 22:49:03,795 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-1000/sketch.templ ...
2024-01-09 22:49:03,795 - sketch.py - assuming sketch in PRISM format...
2024-01-09 22:49:03,798 - prism_parser.py - PRISM model type: MDP
2024-01-09 22:49:03,798 - prism_parser.py - processing hole definitions...
2024-01-09 22:49:03,798 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-1000/sketch.props ...
2024-01-09 22:49:03,799 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-09 22:49:03,799 - jani.py - constructing JANI program...
2024-01-09 22:49:03,802 - jani.py - constructing the quotient...
2024-01-09 22:49:04,527 - jani.py - associating choices of the quotient with hole assignments...
2024-01-09 22:49:05,067 - sketch.py - sketch parsing OK
2024-01-09 22:49:05,067 - sketch.py - constructed explicit quotient having 17003 states and 518003 actions
2024-01-09 22:49:05,068 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-09 22:49:05,255 - mdp_family.py - associating choices with action labels...
2024-01-09 22:49:05,651 - synthesizer.py - evaluation initiated, design space: 3779136
> Progress 20.931%, elapsed 172 s, estimated 825 s, iters = {game: 2241, MDP: 1925}
> Progress 20.933%, elapsed 175 s, estimated 840 s, iters = {game: 2269, MDP: 1951}
> Progress 20.961%, elapsed 178 s, estimated 853 s, iters = {game: 2299, MDP: 1978}
> Progress 21.032%, elapsed 181 s, estimated 865 s, iters = {game: 2407, MDP: 2073}
> Progress 21.083%, elapsed 184 s, estimated 877 s, iters = {game: 2489, MDP: 2146}
> Progress 21.086%, elapsed 188 s, estimated 891 s, iters = {game: 2530, MDP: 2184}
> Progress 21.116%, elapsed 191 s, estimated 904 s, iters = {game: 2575, MDP: 2224}
> Progress 21.137%, elapsed 194 s, estimated 918 s, iters = {game: 2606, MDP: 2250}
> Progress 21.139%, elapsed 197 s, estimated 932 s, iters = {game: 2634, MDP: 2276}
> Progress 21.141%, elapsed 200 s, estimated 946 s, iters = {game: 2663, MDP: 2303}
> Progress 21.186%, elapsed 203 s, estimated 959 s, iters = {game: 2691, MDP: 2327}
> Progress 21.191%, elapsed 206 s, estimated 973 s, iters = {game: 2729, MDP: 2362}
> Progress 21.237%, elapsed 209 s, estimated 985 s, iters = {game: 2767, MDP: 2393}
> Progress 21.24%, elapsed 212 s, estimated 999 s, iters = {game: 2796, MDP: 2420}
> Progress 21.242%, elapsed 215 s, estimated 1013 s, iters = {game: 2825, MDP: 2447}
> Progress 21.289%, elapsed 218 s, estimated 1025 s, iters = {game: 2871, MDP: 2487}
> Progress 21.341%, elapsed 221 s, estimated 1037 s, iters = {game: 2967, MDP: 2573}
> Progress 21.392%, elapsed 224 s, estimated 1048 s, iters = {game: 3045, MDP: 2641}
> Progress 21.396%, elapsed 227 s, estimated 1062 s, iters = {game: 3086, MDP: 2679}
> Progress 21.442%, elapsed 230 s, estimated 1074 s, iters = {game: 3129, MDP: 2717}
> Progress 21.445%, elapsed 233 s, estimated 1088 s, iters = {game: 3159, MDP: 2743}
> Progress 21.448%, elapsed 236 s, estimated 1102 s, iters = {game: 3187, MDP: 2769}
> Progress 21.45%, elapsed 239 s, estimated 1116 s, iters = {game: 3216, MDP: 2796}
> Progress 21.497%, elapsed 242 s, estimated 1128 s, iters = {game: 3249, MDP: 2824}
> Progress 21.499%, elapsed 245 s, estimated 1142 s, iters = {game: 3286, MDP: 2858}
> Progress 21.546%, elapsed 248 s, estimated 1154 s, iters = {game: 3325, MDP: 2892}
> Progress 21.549%, elapsed 251 s, estimated 1168 s, iters = {game: 3354, MDP: 2918}
> Progress 21.553%, elapsed 254 s, estimated 1182 s, iters = {game: 3384, MDP: 2944}
> Progress 21.6%, elapsed 257 s, estimated 1193 s, iters = {game: 3449, MDP: 3003}
> Progress 21.652%, elapsed 260 s, estimated 1204 s, iters = {game: 3541, MDP: 3086}
> Progress 21.701%, elapsed 263 s, estimated 1215 s, iters = {game: 3603, MDP: 3139}
> Progress 21.705%, elapsed 266 s, estimated 1229 s, iters = {game: 3644, MDP: 3177}
> Progress 21.752%, elapsed 269 s, estimated 1240 s, iters = {game: 3690, MDP: 3216}
> Progress 21.754%, elapsed 272 s, estimated 1254 s, iters = {game: 3719, MDP: 3244}
> Progress 21.758%, elapsed 275 s, estimated 1268 s, iters = {game: 3749, MDP: 3270}
> Progress 21.803%, elapsed 279 s, estimated 1279 s, iters = {game: 3778, MDP: 3295}
> Progress 21.806%, elapsed 282 s, estimated 1293 s, iters = {game: 3817, MDP: 3331}
> Progress 21.81%, elapsed 285 s, estimated 1307 s, iters = {game: 3855, MDP: 3365}
> Progress 21.855%, elapsed 288 s, estimated 1318 s, iters = {game: 3887, MDP: 3393}
> Progress 21.859%, elapsed 291 s, estimated 1331 s, iters = {game: 3915, MDP: 3417}
> Progress 21.861%, elapsed 294 s, estimated 1345 s, iters = {game: 3943, MDP: 3443}
> Progress 21.913%, elapsed 297 s, estimated 1356 s, iters = {game: 4042, MDP: 3532}
> Progress 21.95%, elapsed 300 s, estimated 1368 s, iters = {game: 4073, MDP: 3559}
> Progress 21.953%, elapsed 303 s, estimated 1382 s, iters = {game: 4105, MDP: 3587}
> Progress 21.956%, elapsed 306 s, estimated 1395 s, iters = {game: 4134, MDP: 3615}
> Progress 21.965%, elapsed 309 s, estimated 1408 s, iters = {game: 4225, MDP: 3697}
> Progress 22.003%, elapsed 312 s, estimated 1420 s, iters = {game: 4261, MDP: 3727}
> Progress 22.007%, elapsed 315 s, estimated 1433 s, iters = {game: 4297, MDP: 3760}
> Progress 22.009%, elapsed 318 s, estimated 1447 s, iters = {game: 4336, MDP: 3796}
> Progress 22.014%, elapsed 321 s, estimated 1460 s, iters = {game: 4377, MDP: 3833}
> Progress 22.052%, elapsed 324 s, estimated 1472 s, iters = {game: 4421, MDP: 3871}
> Progress 22.054%, elapsed 327 s, estimated 1485 s, iters = {game: 4451, MDP: 3899}
> Progress 22.058%, elapsed 330 s, estimated 1499 s, iters = {game: 4482, MDP: 3926}
> Progress 22.061%, elapsed 333 s, estimated 1512 s, iters = {game: 4511, MDP: 3953}
> Progress 22.063%, elapsed 336 s, estimated 1526 s, iters = {game: 4540, MDP: 3980}
> Progress 22.067%, elapsed 339 s, estimated 1539 s, iters = {game: 4571, MDP: 4007}
> Progress 22.103%, elapsed 342 s, estimated 1550 s, iters = {game: 4600, MDP: 4033}
> Progress 22.108%, elapsed 345 s, estimated 1564 s, iters = {game: 4641, MDP: 4069}
> Progress 22.11%, elapsed 348 s, estimated 1578 s, iters = {game: 4678, MDP: 4104}
> Progress 22.114%, elapsed 351 s, estimated 1591 s, iters = {game: 4714, MDP: 4136}
> Progress 22.118%, elapsed 354 s, estimated 1604 s, iters = {game: 4750, MDP: 4168}
> Progress 22.155%, elapsed 357 s, estimated 1615 s, iters = {game: 4785, MDP: 4199}
> Progress 22.159%, elapsed 361 s, estimated 1629 s, iters = {game: 4816, MDP: 4227}
> Progress 22.161%, elapsed 364 s, estimated 1642 s, iters = {game: 4846, MDP: 4254}
> Progress 22.164%, elapsed 367 s, estimated 1656 s, iters = {game: 4876, MDP: 4283}
> Progress 22.168%, elapsed 370 s, estimated 1669 s, iters = {game: 4906, MDP: 4308}
> Progress 22.17%, elapsed 373 s, estimated 1683 s, iters = {game: 4935, MDP: 4335}
> Progress 22.211%, elapsed 376 s, estimated 1693 s, iters = {game: 4999, MDP: 4391}
> Progress 22.222%, elapsed 379 s, estimated 1706 s, iters = {game: 5121, MDP: 4503}
> Progress 22.324%, elapsed 382 s, estimated 1712 s, iters = {game: 5172, MDP: 4578}
> Progress 22.337%, elapsed 385 s, estimated 1725 s, iters = {game: 5213, MDP: 4651}
> Progress 22.35%, elapsed 388 s, estimated 1737 s, iters = {game: 5249, MDP: 4714}
> Progress 22.363%, elapsed 391 s, estimated 1750 s, iters = {game: 5280, MDP: 4770}
> Progress 22.388%, elapsed 394 s, estimated 1761 s, iters = {game: 5337, MDP: 4863}
> Progress 22.414%, elapsed 397 s, estimated 1773 s, iters = {game: 5399, MDP: 4969}
> Progress 22.421%, elapsed 400 s, estimated 1786 s, iters = {game: 5426, MDP: 5022}
> Progress 22.44%, elapsed 403 s, estimated 1798 s, iters = {game: 5467, MDP: 5089}
> Progress 22.453%, elapsed 406 s, estimated 1810 s, iters = {game: 5515, MDP: 5177}
> Progress 22.478%, elapsed 409 s, estimated 1821 s, iters = {game: 5576, MDP: 5277}
> Progress 22.491%, elapsed 412 s, estimated 1834 s, iters = {game: 5611, MDP: 5340}
> Progress 22.504%, elapsed 415 s, estimated 1846 s, iters = {game: 5646, MDP: 5403}
> Progress 22.517%, elapsed 418 s, estimated 1859 s, iters = {game: 5678, MDP: 5455}
> Progress 22.543%, elapsed 421 s, estimated 1870 s, iters = {game: 5740, MDP: 5559}
> Progress 22.568%, elapsed 424 s, estimated 1881 s, iters = {game: 5798, MDP: 5659}
> Progress 22.581%, elapsed 427 s, estimated 1894 s, iters = {game: 5829, MDP: 5712}
> Progress 22.594%, elapsed 430 s, estimated 1906 s, iters = {game: 5867, MDP: 5779}
> Progress 22.608%, elapsed 433 s, estimated 1918 s, iters = {game: 5918, MDP: 5875}
> Progress 22.618%, elapsed 436 s, estimated 1931 s, iters = {game: 5947, MDP: 5923}
> Progress 22.631%, elapsed 439 s, estimated 1943 s, iters = {game: 6004, MDP: 6025}
> Progress 22.643%, elapsed 442 s, estimated 1955 s, iters = {game: 6054, MDP: 6111}
> Progress 22.645%, elapsed 445 s, estimated 1969 s, iters = {game: 6082, MDP: 6165}
> Progress 22.656%, elapsed 448 s, estimated 1981 s, iters = {game: 6111, MDP: 6215}
> Progress 22.659%, elapsed 451 s, estimated 1994 s, iters = {game: 6158, MDP: 6306}
> Progress 22.669%, elapsed 454 s, estimated 2006 s, iters = {game: 6189, MDP: 6360}
> Progress 22.672%, elapsed 458 s, estimated 2020 s, iters = {game: 6217, MDP: 6412}
> Progress 22.685%, elapsed 461 s, estimated 2032 s, iters = {game: 6287, MDP: 6545}
> Progress 22.787%, elapsed 464 s, estimated 2036 s, iters = {game: 6329, MDP: 6594}
> Progress 22.8%, elapsed 467 s, estimated 2048 s, iters = {game: 6356, MDP: 6633}
> Progress 22.825%, elapsed 470 s, estimated 2059 s, iters = {game: 6384, MDP: 6668}
> Progress 22.863%, elapsed 473 s, estimated 2069 s, iters = {game: 6424, MDP: 6714}
> Progress 22.916%, elapsed 476 s, estimated 2077 s, iters = {game: 6457, MDP: 6734}
> Progress 22.965%, elapsed 479 s, estimated 2086 s, iters = {game: 6489, MDP: 6755}
> Progress 23.025%, elapsed 482 s, estimated 2094 s, iters = {game: 6524, MDP: 6776}
> Progress 23.077%, elapsed 485 s, estimated 2102 s, iters = {game: 6557, MDP: 6797}
> Progress 23.115%, elapsed 488 s, estimated 2112 s, iters = {game: 6592, MDP: 6821}
> Progress 23.456%, elapsed 491 s, estimated 2094 s, iters = {game: 6627, MDP: 6844}
> Progress 23.505%, elapsed 494 s, estimated 2103 s, iters = {game: 6699, MDP: 6964}
> Progress 23.552%, elapsed 497 s, estimated 2111 s, iters = {game: 6761, MDP: 7076}
> Progress 23.554%, elapsed 500 s, estimated 2124 s, iters = {game: 6793, MDP: 7141}
> Progress 23.557%, elapsed 503 s, estimated 2136 s, iters = {game: 6827, MDP: 7205}
> Progress 23.585%, elapsed 506 s, estimated 2147 s, iters = {game: 6871, MDP: 7290}
> Progress 23.604%, elapsed 509 s, estimated 2158 s, iters = {game: 6899, MDP: 7337}
> Progress 23.606%, elapsed 512 s, estimated 2170 s, iters = {game: 6925, MDP: 7389}
> Progress 23.608%, elapsed 515 s, estimated 2183 s, iters = {game: 6950, MDP: 7438}
> Progress 23.61%, elapsed 518 s, estimated 2196 s, iters = {game: 6976, MDP: 7485}
> Progress 23.655%, elapsed 521 s, estimated 2204 s, iters = {game: 7004, MDP: 7526}
> Progress 23.657%, elapsed 524 s, estimated 2217 s, iters = {game: 7036, MDP: 7590}
> Progress 23.66%, elapsed 527 s, estimated 2229 s, iters = {game: 7068, MDP: 7651}
> Progress 23.662%, elapsed 530 s, estimated 2242 s, iters = {game: 7103, MDP: 7718}
> Progress 23.707%, elapsed 533 s, estimated 2250 s, iters = {game: 7131, MDP: 7766}
> Progress 23.709%, elapsed 536 s, estimated 2263 s, iters = {game: 7157, MDP: 7813}
> Progress 23.711%, elapsed 539 s, estimated 2276 s, iters = {game: 7182, MDP: 7863}
> Progress 23.713%, elapsed 542 s, estimated 2288 s, iters = {game: 7207, MDP: 7910}
> Progress 23.758%, elapsed 545 s, estimated 2297 s, iters = {game: 7237, MDP: 7961}
> Progress 23.765%, elapsed 548 s, estimated 2309 s, iters = {game: 7346, MDP: 8174}
> Progress 23.816%, elapsed 551 s, estimated 2316 s, iters = {game: 7418, MDP: 8294}
> Progress 23.861%, elapsed 554 s, estimated 2325 s, iters = {game: 7449, MDP: 8346}
> Progress 23.911%, elapsed 557 s, estimated 2333 s, iters = {game: 7492, MDP: 8414}
> Progress 23.913%, elapsed 560 s, estimated 2345 s, iters = {game: 7519, MDP: 8465}
> Progress 23.915%, elapsed 563 s, estimated 2357 s, iters = {game: 7546, MDP: 8514}
> Progress 23.964%, elapsed 566 s, estimated 2365 s, iters = {game: 7575, MDP: 8553}
> Progress 23.966%, elapsed 569 s, estimated 2378 s, iters = {game: 7609, MDP: 8618}
> Progress 24.015%, elapsed 572 s, estimated 2385 s, iters = {game: 7644, MDP: 8667}
> Progress 24.017%, elapsed 576 s, estimated 2398 s, iters = {game: 7670, MDP: 8719}
> Progress 24.022%, elapsed 579 s, estimated 2410 s, iters = {game: 7697, MDP: 8765}
> Progress 24.116%, elapsed 582 s, estimated 2413 s, iters = {game: 7775, MDP: 8889}
> Progress 24.169%, elapsed 585 s, estimated 2420 s, iters = {game: 7848, MDP: 9009}
