2023-12-19 12:15:51,255 - cli.py - This is Paynt version 0.1.0.
2023-12-19 12:15:51,255 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/virus/sketch.templ ...
2023-12-19 12:15:51,255 - sketch.py - assuming sketch in PRISM format...
2023-12-19 12:15:51,260 - prism_parser.py - PRISM model type: MDP
2023-12-19 12:15:51,261 - prism_parser.py - processing hole definitions...
2023-12-19 12:15:51,261 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/virus/sketch.props ...
2023-12-19 12:15:51,262 - prism_parser.py - found the following specification: constraints: P>=1/2 [F (s11 = 2)]; 
2023-12-19 12:15:51,262 - jani.py - constructing JANI program...
2023-12-19 12:15:51,291 - jani.py - constructing the quotient...
2023-12-19 12:15:51,902 - jani.py - associating choices of the quotient with hole assignments...
2023-12-19 12:15:52,057 - jani.py - keeping 142173/164733 choices with non-conflicting hole assignments...
2023-12-19 12:15:52,205 - sketch.py - sketch parsing OK
2023-12-19 12:15:52,205 - sketch.py - constructed explicit quotient having 1678 states and 142173 actions
2023-12-19 12:15:52,205 - sketch.py - found the following specification constraints: P>=1/2 [F (s11 = 2)]; 
2023-12-19 12:15:52,301 - mdp_family.py - associating choices with action labels...
2023-12-19 12:15:52,418 - synthesizer.py - evaluation initiated, design space: 72576
> Progress 48.888%, elapsed 192 s, estimated 393 s, iters = {MDP: 35482}
> Progress 49.465%, elapsed 195 s, estimated 394 s, iters = {MDP: 35901}
> Progress 50.478%, elapsed 198 s, estimated 392 s, iters = {MDP: 36636}
> Progress 51.176%, elapsed 201 s, estimated 393 s, iters = {MDP: 37143}
> Progress 51.924%, elapsed 204 s, estimated 393 s, iters = {MDP: 37686}
> Progress 52.954%, elapsed 207 s, estimated 391 s, iters = {MDP: 38433}
> Progress 53.56%, elapsed 210 s, estimated 392 s, iters = {MDP: 38873}
> Progress 54.093%, elapsed 213 s, estimated 394 s, iters = {MDP: 39260}
> Progress 54.68%, elapsed 216 s, estimated 395 s, iters = {MDP: 39686}
> Progress 55.624%, elapsed 219 s, estimated 394 s, iters = {MDP: 40371}
> Progress 56.171%, elapsed 222 s, estimated 395 s, iters = {MDP: 40768}
> Progress 56.783%, elapsed 225 s, estimated 396 s, iters = {MDP: 41212}
> Progress 57.356%, elapsed 228 s, estimated 397 s, iters = {MDP: 41628}
> Progress 58.019%, elapsed 231 s, estimated 398 s, iters = {MDP: 42109}
> Progress 58.807%, elapsed 234 s, estimated 398 s, iters = {MDP: 42681}
> Progress 59.344%, elapsed 237 s, estimated 399 s, iters = {MDP: 43071}
> Progress 59.913%, elapsed 240 s, estimated 400 s, iters = {MDP: 43484}
> Progress 60.393%, elapsed 243 s, estimated 402 s, iters = {MDP: 43832}
> Progress 61.287%, elapsed 246 s, estimated 401 s, iters = {MDP: 44481}
> Progress 61.893%, elapsed 249 s, estimated 402 s, iters = {MDP: 44921}
> Progress 62.493%, elapsed 252 s, estimated 403 s, iters = {MDP: 45356}
> Progress 63.095%, elapsed 255 s, estimated 404 s, iters = {MDP: 45793}
> Progress 64.014%, elapsed 258 s, estimated 403 s, iters = {MDP: 46460}
> Progress 64.623%, elapsed 261 s, estimated 404 s, iters = {MDP: 46902}
> Progress 65.221%, elapsed 264 s, estimated 405 s, iters = {MDP: 47336}
> Progress 65.802%, elapsed 267 s, estimated 406 s, iters = {MDP: 47758}
> Progress 66.723%, elapsed 270 s, estimated 405 s, iters = {MDP: 48426}
> Progress 67.416%, elapsed 273 s, estimated 405 s, iters = {MDP: 48929}
> Progress 68.131%, elapsed 276 s, estimated 405 s, iters = {MDP: 49448}
> Progress 68.851%, elapsed 279 s, estimated 405 s, iters = {MDP: 49971}
> Progress 69.838%, elapsed 282 s, estimated 404 s, iters = {MDP: 50687}
> Progress 70.447%, elapsed 285 s, estimated 404 s, iters = {MDP: 51129}
> Progress 71.041%, elapsed 288 s, estimated 405 s, iters = {MDP: 51560}
> Progress 71.599%, elapsed 291 s, estimated 406 s, iters = {MDP: 51965}
> Progress 72.525%, elapsed 294 s, estimated 405 s, iters = {MDP: 52637}
> Progress 73.087%, elapsed 297 s, estimated 406 s, iters = {MDP: 53045}
> Progress 73.67%, elapsed 300 s, estimated 407 s, iters = {MDP: 53468}
> Progress 74.202%, elapsed 303 s, estimated 408 s, iters = {MDP: 53854}
> Progress 75.103%, elapsed 306 s, estimated 407 s, iters = {MDP: 54508}
> Progress 75.69%, elapsed 309 s, estimated 408 s, iters = {MDP: 54934}
> Progress 76.278%, elapsed 312 s, estimated 409 s, iters = {MDP: 55361}
> Progress 76.871%, elapsed 315 s, estimated 410 s, iters = {MDP: 55791}
> Progress 77.808%, elapsed 318 s, estimated 409 s, iters = {MDP: 56471}
> Progress 78.406%, elapsed 321 s, estimated 409 s, iters = {MDP: 56905}
> Progress 79.017%, elapsed 324 s, estimated 410 s, iters = {MDP: 57349}
> Progress 79.611%, elapsed 327 s, estimated 411 s, iters = {MDP: 57780}
> Progress 80.23%, elapsed 330 s, estimated 411 s, iters = {MDP: 58229}
> Progress 81.051%, elapsed 333 s, estimated 411 s, iters = {MDP: 58825}
> Progress 81.664%, elapsed 336 s, estimated 411 s, iters = {MDP: 59270}
> Progress 82.273%, elapsed 339 s, estimated 412 s, iters = {MDP: 59712}
> Progress 82.862%, elapsed 342 s, estimated 413 s, iters = {MDP: 60139}
> Progress 83.819%, elapsed 345 s, estimated 412 s, iters = {MDP: 60834}
> Progress 84.414%, elapsed 348 s, estimated 412 s, iters = {MDP: 61266}
> Progress 85.008%, elapsed 351 s, estimated 413 s, iters = {MDP: 61697}
> Progress 85.612%, elapsed 354 s, estimated 413 s, iters = {MDP: 62135}
> Progress 86.556%, elapsed 357 s, estimated 412 s, iters = {MDP: 62820}
> Progress 87.132%, elapsed 360 s, estimated 413 s, iters = {MDP: 63238}
> Progress 87.692%, elapsed 363 s, estimated 414 s, iters = {MDP: 63645}
> Progress 88.289%, elapsed 366 s, estimated 414 s, iters = {MDP: 64078}
> Progress 89.231%, elapsed 369 s, estimated 413 s, iters = {MDP: 64762}
> Progress 89.821%, elapsed 372 s, estimated 414 s, iters = {MDP: 65190}
> Progress 90.408%, elapsed 375 s, estimated 415 s, iters = {MDP: 65616}
> Progress 91.009%, elapsed 378 s, estimated 415 s, iters = {MDP: 66052}
> Progress 91.962%, elapsed 381 s, estimated 414 s, iters = {MDP: 66744}
> Progress 92.566%, elapsed 384 s, estimated 415 s, iters = {MDP: 67182}
> Progress 93.161%, elapsed 387 s, estimated 415 s, iters = {MDP: 67614}
> Progress 93.732%, elapsed 390 s, estimated 416 s, iters = {MDP: 68028}
> Progress 94.656%, elapsed 393 s, estimated 415 s, iters = {MDP: 68699}
> Progress 95.253%, elapsed 396 s, estimated 416 s, iters = {MDP: 69132}
> Progress 95.86%, elapsed 399 s, estimated 416 s, iters = {MDP: 69573}
> Progress 96.457%, elapsed 402 s, estimated 417 s, iters = {MDP: 70006}
> Progress 97.409%, elapsed 405 s, estimated 416 s, iters = {MDP: 70697}
> Progress 98.003%, elapsed 408 s, estimated 416 s, iters = {MDP: 71128}
> Progress 98.6%, elapsed 411 s, estimated 417 s, iters = {MDP: 71561}
> Progress 99.196%, elapsed 414 s, estimated 417 s, iters = {MDP: 71994}
unSAT MDPs: 12096	unSAT families: 12096	avg. unSAT family size: 1.0
SAT MDPs: 60480	SAT families: 60480	avg. SAT family size: 1.0
policies: 415	policy per SAT MDP: 0.01
iterations: 72576
time: 416.72s
