2024-01-16 21:00:17,719 - cli.py - This is Paynt version 0.1.0.
2024-01-16 21:00:17,719 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/obstacles-10-6-skip-easy/sketch.templ ...
2024-01-16 21:00:17,719 - sketch.py - assuming sketch in PRISM format...
2024-01-16 21:00:17,722 - prism_parser.py - PRISM model type: MDP
2024-01-16 21:00:17,722 - prism_parser.py - processing hole definitions...
2024-01-16 21:00:17,723 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/obstacles-10-6-skip-easy/sketch.props ...
2024-01-16 21:00:17,723 - prism_parser.py - found the following specification: constraints: P>9/10 [F ((x = 10) & (y = 10))]; 
2024-01-16 21:00:17,724 - jani.py - constructing JANI program...
2024-01-16 21:00:17,726 - jani.py - constructing the quotient...
2024-01-16 21:00:17,741 - jani.py - associating choices of the quotient with hole assignments...
2024-01-16 21:00:17,743 - sketch.py - sketch parsing OK
2024-01-16 21:00:17,744 - sketch.py - constructed explicit quotient having 783 states and 2856 actions
2024-01-16 21:00:17,744 - sketch.py - found the following specification constraints: P>9/10 [F ((x = 10) & (y = 10))]; 
2024-01-16 21:00:17,744 - mdp_family.py - associating choices with action labels...
2024-01-16 21:00:17,750 - synthesizer.py - evaluation initiated, design space: 2488320
> progress 10.323%, elapsed 168 s, estimated 1628 s, iters = {game: 49370, MDP: 21637}
> progress 10.487%, elapsed 171 s, estimated 1631 s, iters = {game: 50269, MDP: 22030}
> progress 10.566%, elapsed 174 s, estimated 1647 s, iters = {game: 51093, MDP: 22393}
> progress 10.677%, elapsed 177 s, estimated 1658 s, iters = {game: 52018, MDP: 22802}
> progress 10.945%, elapsed 180 s, estimated 1645 s, iters = {game: 52928, MDP: 23196}
> progress 11.665%, elapsed 183 s, estimated 1569 s, iters = {game: 53768, MDP: 23565}
> progress 12.185%, elapsed 186 s, estimated 1527 s, iters = {game: 54693, MDP: 23968}
> progress 12.568%, elapsed 189 s, estimated 1504 s, iters = {game: 55488, MDP: 24314}
> progress 12.66%, elapsed 192 s, estimated 1517 s, iters = {game: 56271, MDP: 24656}
> progress 12.76%, elapsed 195 s, estimated 1529 s, iters = {game: 57047, MDP: 24996}
> progress 12.867%, elapsed 198 s, estimated 1539 s, iters = {game: 57862, MDP: 25361}
> progress 13.039%, elapsed 201 s, estimated 1542 s, iters = {game: 58825, MDP: 25780}
> progress 13.186%, elapsed 204 s, estimated 1548 s, iters = {game: 59752, MDP: 26190}
> progress 13.621%, elapsed 207 s, estimated 1520 s, iters = {game: 60695, MDP: 26606}
> progress 14.847%, elapsed 210 s, estimated 1415 s, iters = {game: 61546, MDP: 26981}
> progress 15.757%, elapsed 213 s, estimated 1352 s, iters = {game: 62399, MDP: 27354}
> progress 15.98%, elapsed 216 s, estimated 1352 s, iters = {game: 63224, MDP: 27717}
> progress 16.127%, elapsed 219 s, estimated 1358 s, iters = {game: 64061, MDP: 28084}
> progress 16.332%, elapsed 222 s, estimated 1360 s, iters = {game: 64892, MDP: 28447}
> progress 16.509%, elapsed 225 s, estimated 1363 s, iters = {game: 65768, MDP: 28832}
> progress 17.152%, elapsed 228 s, estimated 1330 s, iters = {game: 66633, MDP: 29209}
> progress 18.816%, elapsed 231 s, estimated 1228 s, iters = {game: 67498, MDP: 29584}
> progress 18.915%, elapsed 234 s, estimated 1237 s, iters = {game: 68302, MDP: 29933}
> progress 19.017%, elapsed 237 s, estimated 1246 s, iters = {game: 69176, MDP: 30315}
> progress 19.103%, elapsed 240 s, estimated 1257 s, iters = {game: 69992, MDP: 30685}
> progress 19.235%, elapsed 243 s, estimated 1264 s, iters = {game: 70939, MDP: 31092}
> progress 19.359%, elapsed 246 s, estimated 1271 s, iters = {game: 71873, MDP: 31506}
> progress 19.629%, elapsed 249 s, estimated 1269 s, iters = {game: 72748, MDP: 31891}
> progress 19.819%, elapsed 252 s, estimated 1272 s, iters = {game: 73557, MDP: 32248}
> progress 20.081%, elapsed 255 s, estimated 1270 s, iters = {game: 74493, MDP: 32652}
> progress 20.912%, elapsed 258 s, estimated 1234 s, iters = {game: 75309, MDP: 33012}
> progress 21.053%, elapsed 261 s, estimated 1240 s, iters = {game: 76163, MDP: 33381}
> progress 21.139%, elapsed 264 s, estimated 1249 s, iters = {game: 77016, MDP: 33758}
> progress 21.23%, elapsed 267 s, estimated 1258 s, iters = {game: 77867, MDP: 34134}
> progress 21.359%, elapsed 270 s, estimated 1264 s, iters = {game: 78836, MDP: 34554}
> progress 21.46%, elapsed 273 s, estimated 1272 s, iters = {game: 79812, MDP: 34976}
> progress 21.527%, elapsed 276 s, estimated 1282 s, iters = {game: 80726, MDP: 35379}
> progress 21.898%, elapsed 279 s, estimated 1274 s, iters = {game: 81623, MDP: 35776}
> progress 22.021%, elapsed 282 s, estimated 1281 s, iters = {game: 82582, MDP: 36192}
> progress 25.031%, elapsed 285 s, estimated 1139 s, iters = {game: 83447, MDP: 36578}
> progress 25.178%, elapsed 288 s, estimated 1144 s, iters = {game: 84319, MDP: 36955}
> progress 25.296%, elapsed 291 s, estimated 1151 s, iters = {game: 85208, MDP: 37345}
> progress 25.449%, elapsed 294 s, estimated 1155 s, iters = {game: 86132, MDP: 37748}
> progress 25.949%, elapsed 297 s, estimated 1145 s, iters = {game: 87038, MDP: 38141}
> progress 26.055%, elapsed 300 s, estimated 1152 s, iters = {game: 87970, MDP: 38553}
> progress 26.206%, elapsed 303 s, estimated 1156 s, iters = {game: 88902, MDP: 38957}
> progress 28.269%, elapsed 306 s, estimated 1083 s, iters = {game: 89740, MDP: 39321}
> progress 28.596%, elapsed 309 s, estimated 1081 s, iters = {game: 90585, MDP: 39692}
> progress 28.824%, elapsed 312 s, estimated 1083 s, iters = {game: 91440, MDP: 40065}
> progress 29.246%, elapsed 315 s, estimated 1077 s, iters = {game: 92313, MDP: 40445}
> progress 30.232%, elapsed 318 s, estimated 1052 s, iters = {game: 93144, MDP: 40807}
> progress 31.398%, elapsed 321 s, estimated 1022 s, iters = {game: 93855, MDP: 41116}
> progress 31.499%, elapsed 324 s, estimated 1029 s, iters = {game: 94715, MDP: 41489}
