2024-01-08 14:24:00,600 - cli.py - This is Paynt version 0.1.0.
2024-01-08 14:24:00,600 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/int-holes/operator-roz-big/sketch.templ ...
> Progress 19.966%, elapsed 140 s, estimated 704 s, iters = {game: 1595, MDP: 2061}
> Progress 19.994%, elapsed 143 s, estimated 718 s, iters = {game: 1638, MDP: 2123}
> Progress 20.493%, elapsed 146 s, estimated 715 s, iters = {game: 1707, MDP: 2216}
> Progress 20.53%, elapsed 149 s, estimated 729 s, iters = {game: 1790, MDP: 2323}
> Progress 21.047%, elapsed 152 s, estimated 725 s, iters = {game: 1874, MDP: 2436}
> Progress 21.084%, elapsed 155 s, estimated 738 s, iters = {game: 1958, MDP: 2545}
> Progress 21.602%, elapsed 158 s, estimated 734 s, iters = {game: 2043, MDP: 2660}
> Progress 21.64%, elapsed 161 s, estimated 747 s, iters = {game: 2127, MDP: 2768}
> Progress 22.156%, elapsed 164 s, estimated 743 s, iters = {game: 2211, MDP: 2881}
> Progress 22.195%, elapsed 167 s, estimated 756 s, iters = {game: 2296, MDP: 2990}
> Progress 22.687%, elapsed 170 s, estimated 752 s, iters = {game: 2384, MDP: 3103}
> Progress 22.715%, elapsed 173 s, estimated 765 s, iters = {game: 2474, MDP: 3213}
> Progress 22.74%, elapsed 176 s, estimated 777 s, iters = {game: 2561, MDP: 3331}
> Progress 23.1%, elapsed 179 s, estimated 778 s, iters = {game: 2662, MDP: 3470}
> Progress 23.163%, elapsed 182 s, estimated 789 s, iters = {game: 2786, MDP: 3640}
> Progress 23.204%, elapsed 185 s, estimated 801 s, iters = {game: 2910, MDP: 3799}
> Progress 23.234%, elapsed 188 s, estimated 813 s, iters = {game: 3017, MDP: 3943}
> Progress 23.777%, elapsed 191 s, estimated 807 s, iters = {game: 3124, MDP: 4089}
> Progress 23.811%, elapsed 194 s, estimated 818 s, iters = {game: 3217, MDP: 4205}
> Progress 24.361%, elapsed 197 s, estimated 812 s, iters = {game: 3305, MDP: 4334}
> Progress 24.405%, elapsed 200 s, estimated 823 s, iters = {game: 3387, MDP: 4444}
> Progress 24.915%, elapsed 203 s, estimated 818 s, iters = {game: 3472, MDP: 4554}
> Progress 24.961%, elapsed 206 s, estimated 829 s, iters = {game: 3556, MDP: 4667}
> Progress 25.452%, elapsed 209 s, estimated 824 s, iters = {game: 3649, MDP: 4788}
> Progress 25.486%, elapsed 212 s, estimated 835 s, iters = {game: 3760, MDP: 4924}
> Progress 26.0%, elapsed 216 s, estimated 830 s, iters = {game: 3866, MDP: 5080}
> Progress 26.034%, elapsed 219 s, estimated 841 s, iters = {game: 3978, MDP: 5222}
> Progress 26.083%, elapsed 222 s, estimated 851 s, iters = {game: 4087, MDP: 5371}
> Progress 26.58%, elapsed 225 s, estimated 846 s, iters = {game: 4196, MDP: 5519}
> Progress 26.618%, elapsed 228 s, estimated 856 s, iters = {game: 4306, MDP: 5662}
> Progress 27.128%, elapsed 231 s, estimated 851 s, iters = {game: 4415, MDP: 5812}
> Progress 27.166%, elapsed 234 s, estimated 861 s, iters = {game: 4523, MDP: 5957}
> Progress 27.666%, elapsed 237 s, estimated 856 s, iters = {game: 4637, MDP: 6116}
> Progress 27.706%, elapsed 240 s, estimated 866 s, iters = {game: 4751, MDP: 6267}
> Progress 28.129%, elapsed 243 s, estimated 864 s, iters = {game: 4893, MDP: 6457}
> Progress 28.18%, elapsed 246 s, estimated 873 s, iters = {game: 5049, MDP: 6629}
> Progress 28.736%, elapsed 249 s, estimated 866 s, iters = {game: 5196, MDP: 6825}
> Progress 29.34%, elapsed 252 s, estimated 859 s, iters = {game: 5330, MDP: 7004}
> Progress 29.374%, elapsed 255 s, estimated 868 s, iters = {game: 5442, MDP: 7141}
> Progress 29.423%, elapsed 258 s, estimated 877 s, iters = {game: 5547, MDP: 7297}
> Progress 29.92%, elapsed 261 s, estimated 872 s, iters = {game: 5658, MDP: 7437}
> Progress 29.958%, elapsed 264 s, estimated 881 s, iters = {game: 5766, MDP: 7585}
> Progress 31.111%, elapsed 267 s, estimated 859 s, iters = {game: 5799, MDP: 7633}
> Progress 36.111%, elapsed 270 s, estimated 749 s, iters = {game: 5808, MDP: 7642}
> Progress 41.666%, elapsed 273 s, estimated 656 s, iters = {game: 5818, MDP: 7652}
> Progress 43.305%, elapsed 276 s, estimated 639 s, iters = {game: 5829, MDP: 7664}
> Progress 43.327%, elapsed 280 s, estimated 646 s, iters = {game: 5839, MDP: 7675}
> Progress 43.331%, elapsed 283 s, estimated 653 s, iters = {game: 5848, MDP: 7690}
> Progress 47.777%, elapsed 286 s, estimated 598 s, iters = {game: 5860, MDP: 7704}
> Progress 48.326%, elapsed 289 s, estimated 598 s, iters = {game: 5872, MDP: 7716}
> Progress 48.33%, elapsed 292 s, estimated 605 s, iters = {game: 5882, MDP: 7730}
> Progress 50.0%, elapsed 295 s, estimated 591 s, iters = {game: 5893, MDP: 7747}
> Progress 53.219%, elapsed 298 s, estimated 560 s, iters = {game: 5921, MDP: 7781}
> Progress 53.273%, elapsed 301 s, estimated 566 s, iters = {game: 5943, MDP: 7809}
> Progress 53.291%, elapsed 304 s, estimated 571 s, iters = {game: 5962, MDP: 7836}
> Progress 53.298%, elapsed 307 s, estimated 577 s, iters = {game: 5981, MDP: 7865}
> Progress 53.312%, elapsed 310 s, estimated 582 s, iters = {game: 6001, MDP: 7885}
> Progress 53.319%, elapsed 313 s, estimated 588 s, iters = {game: 6020, MDP: 7914}
> Progress 53.326%, elapsed 316 s, estimated 594 s, iters = {game: 6039, MDP: 7933}
> Progress 53.331%, elapsed 319 s, estimated 599 s, iters = {game: 6057, MDP: 7955}
> Progress 53.881%, elapsed 322 s, estimated 599 s, iters = {game: 6077, MDP: 7977}
> Progress 55.555%, elapsed 325 s, estimated 586 s, iters = {game: 6096, MDP: 7996}
> Progress 57.773%, elapsed 328 s, estimated 569 s, iters = {game: 6120, MDP: 8023}
> Progress 58.217%, elapsed 332 s, estimated 570 s, iters = {game: 6149, MDP: 8060}
> Progress 58.245%, elapsed 335 s, estimated 575 s, iters = {game: 6176, MDP: 8099}
> Progress 58.268%, elapsed 338 s, estimated 580 s, iters = {game: 6200, MDP: 8135}
> Progress 58.276%, elapsed 341 s, estimated 585 s, iters = {game: 6223, MDP: 8170}
> Progress 58.29%, elapsed 344 s, estimated 590 s, iters = {game: 6247, MDP: 8204}
> Progress 58.298%, elapsed 347 s, estimated 595 s, iters = {game: 6269, MDP: 8238}
> Progress 58.305%, elapsed 350 s, estimated 601 s, iters = {game: 6291, MDP: 8260}
> Progress 58.313%, elapsed 353 s, estimated 606 s, iters = {game: 6314, MDP: 8293}
> Progress 58.32%, elapsed 356 s, estimated 611 s, iters = {game: 6336, MDP: 8325}
> Progress 58.328%, elapsed 359 s, estimated 616 s, iters = {game: 6358, MDP: 8353}
> Progress 58.847%, elapsed 362 s, estimated 616 s, iters = {game: 6381, MDP: 8385}
> Progress 58.861%, elapsed 365 s, estimated 621 s, iters = {game: 6402, MDP: 8417}
> Progress 58.881%, elapsed 368 s, estimated 626 s, iters = {game: 6424, MDP: 8448}
> Progress 60.555%, elapsed 371 s, estimated 613 s, iters = {game: 6446, MDP: 8470}
> Progress 62.775%, elapsed 374 s, estimated 596 s, iters = {game: 6473, MDP: 8503}
> Progress 63.194%, elapsed 377 s, estimated 597 s, iters = {game: 6510, MDP: 8554}
> Progress 63.222%, elapsed 380 s, estimated 602 s, iters = {game: 6551, MDP: 8605}
> Progress 63.244%, elapsed 383 s, estimated 606 s, iters = {game: 6580, MDP: 8646}
> Progress 63.261%, elapsed 386 s, estimated 611 s, iters = {game: 6609, MDP: 8689}
