2024-01-08 19:29:06,742 - cli.py - This is Paynt version 0.1.0.
2024-01-08 19:29:06,743 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/int-holes/roz-big/sketch.templ ...
2024-01-08 19:29:06,743 - sketch.py - assuming sketch in PRISM format...
2024-01-08 19:29:06,751 - prism_parser.py - PRISM model type: MDP
2024-01-08 19:29:06,751 - prism_parser.py - processing hole definitions...
2024-01-08 19:29:06,752 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/uav/int-holes/roz-big/sketch.props ...
2024-01-08 19:29:06,752 - prism_parser.py - found the following specification: constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-08 19:29:06,752 - jani.py - constructing JANI program...
2024-01-08 19:29:06,763 - jani.py - constructing the quotient...
2024-01-08 19:29:07,537 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 19:29:07,707 - sketch.py - sketch parsing OK
2024-01-08 19:29:07,708 - sketch.py - constructed explicit quotient having 17927 states and 192109 actions
2024-01-08 19:29:07,708 - sketch.py - found the following specification constraints: P>=3/4 [F ((w1 & w2) & w6)]; 
2024-01-08 19:29:07,817 - mdp_family.py - associating choices with action labels...
2024-01-08 19:29:08,085 - synthesizer.py - evaluation initiated, design space: 40500
> Progress 42.686%, elapsed 192 s, estimated 450 s, iters = {MDP: 17289}
> Progress 43.007%, elapsed 195 s, estimated 454 s, iters = {MDP: 17419}
> Progress 43.34%, elapsed 198 s, estimated 457 s, iters = {MDP: 17554}
> Progress 43.666%, elapsed 201 s, estimated 461 s, iters = {MDP: 17686}
> Progress 43.99%, elapsed 204 s, estimated 464 s, iters = {MDP: 17817}
> Progress 44.32%, elapsed 207 s, estimated 468 s, iters = {MDP: 17951}
> Progress 44.649%, elapsed 210 s, estimated 471 s, iters = {MDP: 18084}
> Progress 44.965%, elapsed 213 s, estimated 474 s, iters = {MDP: 18212}
> Progress 45.239%, elapsed 216 s, estimated 478 s, iters = {MDP: 18323}
> Progress 45.441%, elapsed 219 s, estimated 483 s, iters = {MDP: 18405}
> Progress 45.693%, elapsed 222 s, estimated 487 s, iters = {MDP: 18507}
> Progress 45.955%, elapsed 225 s, estimated 490 s, iters = {MDP: 18613}
> Progress 46.229%, elapsed 228 s, estimated 494 s, iters = {MDP: 18724}
> Progress 46.513%, elapsed 231 s, estimated 497 s, iters = {MDP: 18839}
> Progress 46.795%, elapsed 234 s, estimated 501 s, iters = {MDP: 18953}
> Progress 47.079%, elapsed 237 s, estimated 504 s, iters = {MDP: 19068}
> Progress 47.367%, elapsed 240 s, estimated 508 s, iters = {MDP: 19185}
> Progress 47.651%, elapsed 243 s, estimated 511 s, iters = {MDP: 19300}
> Progress 47.933%, elapsed 246 s, estimated 514 s, iters = {MDP: 19414}
> Progress 48.222%, elapsed 249 s, estimated 517 s, iters = {MDP: 19531}
> Progress 48.503%, elapsed 252 s, estimated 520 s, iters = {MDP: 19645}
> Progress 48.785%, elapsed 255 s, estimated 524 s, iters = {MDP: 19759}
> Progress 49.071%, elapsed 258 s, estimated 527 s, iters = {MDP: 19875}
> Progress 49.355%, elapsed 261 s, estimated 530 s, iters = {MDP: 19990}
> Progress 49.646%, elapsed 264 s, estimated 533 s, iters = {MDP: 20108}
> Progress 49.935%, elapsed 267 s, estimated 536 s, iters = {MDP: 20225}
> Progress 50.175%, elapsed 270 s, estimated 539 s, iters = {MDP: 20322}
> Progress 50.412%, elapsed 273 s, estimated 543 s, iters = {MDP: 20418}
> Progress 50.646%, elapsed 276 s, estimated 546 s, iters = {MDP: 20513}
> Progress 50.879%, elapsed 279 s, estimated 549 s, iters = {MDP: 20607}
> Progress 51.054%, elapsed 282 s, estimated 553 s, iters = {MDP: 20678}
> Progress 51.306%, elapsed 285 s, estimated 557 s, iters = {MDP: 20780}
> Progress 51.548%, elapsed 288 s, estimated 560 s, iters = {MDP: 20878}
> Progress 51.792%, elapsed 291 s, estimated 563 s, iters = {MDP: 20977}
> Progress 52.034%, elapsed 294 s, estimated 566 s, iters = {MDP: 21075}
> Progress 52.288%, elapsed 297 s, estimated 569 s, iters = {MDP: 21178}
