2024-01-08 19:09:06,243 - cli.py - This is Paynt version 0.1.0.
2024-01-08 19:09:06,243 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/dodge/8-mod3-pull-30/sketch.templ ...
2024-01-08 19:09:06,243 - sketch.py - assuming sketch in PRISM format...
2024-01-08 19:09:06,247 - prism_parser.py - PRISM model type: MDP
2024-01-08 19:09:06,247 - prism_parser.py - processing hole definitions...
2024-01-08 19:09:06,247 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/dodge/8-mod3-pull-30/sketch.props ...
2024-01-08 19:09:06,248 - prism_parser.py - found the following specification: constraints: P>9/10 [F ((x = 8) & (y = 8))]; 
2024-01-08 19:09:06,248 - jani.py - constructing JANI program...
2024-01-08 19:09:06,256 - jani.py - constructing the quotient...
2024-01-08 19:09:07,716 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 19:09:08,209 - sketch.py - sketch parsing OK
2024-01-08 19:09:08,210 - sketch.py - constructed explicit quotient having 149659 states and 723570 actions
2024-01-08 19:09:08,210 - sketch.py - found the following specification constraints: P>9/10 [F ((x = 8) & (y = 8))]; 
2024-01-08 19:09:08,485 - mdp_family.py - associating choices with action labels...
2024-01-08 19:09:09,503 - synthesizer.py - evaluation initiated, design space: 93750000
> Progress 0.006%, elapsed 169 s, estimated 2546411 s (29 days), iters = {MDP: 6224}
> Progress 0.006%, elapsed 172 s, estimated 2557208 s (29 days), iters = {MDP: 6309}
> Progress 0.006%, elapsed 175 s, estimated 2561817 s (29 days), iters = {MDP: 6408}
> Progress 0.006%, elapsed 178 s, estimated 2561933 s (29 days), iters = {MDP: 6519}
> Progress 0.007%, elapsed 181 s, estimated 2583601 s (29 days), iters = {MDP: 6574}
> Progress 0.007%, elapsed 184 s, estimated 2603577 s (30 days), iters = {MDP: 6632}
> Progress 0.007%, elapsed 187 s, estimated 2594404 s (30 days), iters = {MDP: 6764}
> Progress 0.007%, elapsed 190 s, estimated 2585415 s (29 days), iters = {MDP: 6897}
> Progress 0.007%, elapsed 193 s, estimated 2596906 s (30 days), iters = {MDP: 6975}
> Progress 0.007%, elapsed 196 s, estimated 2585900 s (29 days), iters = {MDP: 7114}
> Progress 0.007%, elapsed 199 s, estimated 2594722 s (30 days), iters = {MDP: 7199}
> Progress 0.007%, elapsed 202 s, estimated 2590656 s (29 days), iters = {MDP: 7320}
> Progress 0.007%, elapsed 205 s, estimated 2572620 s (29 days), iters = {MDP: 7481}
> Progress 0.008%, elapsed 208 s, estimated 2583735 s (29 days), iters = {MDP: 7559}
> Progress 0.008%, elapsed 211 s, estimated 2587191 s (29 days), iters = {MDP: 7658}
> Progress 0.008%, elapsed 214 s, estimated 2584319 s (29 days), iters = {MDP: 7776}
> Progress 0.008%, elapsed 217 s, estimated 2600775 s (30 days), iters = {MDP: 7835}
> Progress 0.008%, elapsed 220 s, estimated 2607235 s (30 days), iters = {MDP: 7924}
> Progress 0.008%, elapsed 223 s, estimated 2589874 s (29 days), iters = {MDP: 8086}
> Progress 0.008%, elapsed 226 s, estimated 2593822 s (30 days), iters = {MDP: 8183}
> Progress 0.008%, elapsed 229 s, estimated 2597120 s (30 days), iters = {MDP: 8281}
> Progress 0.008%, elapsed 232 s, estimated 2589384 s (29 days), iters = {MDP: 8415}
> Progress 0.009%, elapsed 235 s, estimated 2599317 s (30 days), iters = {MDP: 8492}
> Progress 0.009%, elapsed 238 s, estimated 2586034 s (29 days), iters = {MDP: 8645}
> Progress 0.009%, elapsed 241 s, estimated 2579915 s (29 days), iters = {MDP: 8776}
> Progress 0.009%, elapsed 244 s, estimated 2588404 s (29 days), iters = {MDP: 8856}
> Progress 0.009%, elapsed 247 s, estimated 2578606 s (29 days), iters = {MDP: 8999}
> Progress 0.009%, elapsed 250 s, estimated 2586574 s (29 days), iters = {MDP: 9082}
> Progress 0.009%, elapsed 253 s, estimated 2582672 s (29 days), iters = {MDP: 9205}
> Progress 0.009%, elapsed 256 s, estimated 2568151 s (29 days), iters = {MDP: 9367}
> Progress 0.01%, elapsed 259 s, estimated 2577974 s (29 days), iters = {MDP: 9442}
> Progress 0.01%, elapsed 262 s, estimated 2577585 s (29 days), iters = {MDP: 9553}
> Progress 0.01%, elapsed 265 s, estimated 2570864 s (29 days), iters = {MDP: 9688}
> Progress 0.01%, elapsed 268 s, estimated 2564095 s (29 days), iters = {MDP: 9824}
> Progress 0.01%, elapsed 271 s, estimated 2552300 s (29 days), iters = {MDP: 9980}
> Progress 0.01%, elapsed 274 s, estimated 2559434 s (29 days), iters = {MDP: 10063}
> Progress 0.01%, elapsed 277 s, estimated 2568667 s (29 days), iters = {MDP: 10137}
> Progress 0.01%, elapsed 280 s, estimated 2559609 s (29 days), iters = {MDP: 10283}
> Progress 0.011%, elapsed 283 s, estimated 2556980 s (29 days), iters = {MDP: 10404}
> Progress 0.011%, elapsed 286 s, estimated 2544922 s (29 days), iters = {MDP: 10564}
> Progress 0.011%, elapsed 289 s, estimated 2546646 s (29 days), iters = {MDP: 10668}
> Progress 0.011%, elapsed 292 s, estimated 2554179 s (29 days), iters = {MDP: 10747}
> Progress 0.011%, elapsed 295 s, estimated 2548677 s (29 days), iters = {MDP: 10881}
