ERROR (SpiritErrorHandler.h:27): Parsing error at 3:1:  expecting <model type>, here:
	@type: POMDP
	^

Finished exploring under-approximation MDP.
Start analysis...
starting Storm POMDP analysis
Storm value: 194.50658155392264
===========================
belief count: 1000
max prob >0.5: 300 (30.0%)
max prob >0.9: 117 (11.7%)
Observations (overall count: 2 - count: 2): 1: 506 (50.6%), 0: 494 (49.4%), 
Supports (overall count: 3 - count: 3): (17, 15, 13, 8): 506 (50.6%), (16, 14, 12, 11, 10, 9): 336 (33.6%), (16, 14, 12, 11, 10): 158 (15.8%), 
===========================
network 19 5 1000 30.0 11.7 2 2 3 3
constructing pomdps
True	317.161        306.542        305.169        355.289        315.595
False	317.161        306.542        306.542        354.986        315.595
True	180.689        298.782        298.782        180.689        178.929
False	179.681        298.782        298.782        179.681        178.929
True	275.412        298.782        298.782        180.689        274.24
False	275.412        298.782        298.782        179.681        274.24
True	180.689        298.782        298.782        180.689        178.929
False	179.681        298.782        298.782        179.681        178.929
True	277.585        298.782        298.782        180.689        276.409
False	277.585        298.782        298.782        179.681        276.409
True	281.617        298.782        298.782        180.689        280.431
False	281.617        298.782        298.782        179.681        280.431
True	273.966        298.782        298.782        180.689        272.786
False	273.966        298.782        298.782        179.681        272.786
True	334.737        306.542        305.169        367.071        328.973
False	334.737        306.542        306.542        367.071        328.973
True	180.689        298.782        298.782        180.689        178.929
False	179.681        298.782        298.782        179.681        178.929
True	331.701        306.542        305.169        367.071        326.837
False	331.701        306.542        306.542        367.071        326.837
True	180.689        298.782        298.782        180.689        178.929
False	179.681        298.782        298.782        179.681        178.929
True	285.445        298.782        298.782        180.689        284.242
False	285.445        298.782        298.782        179.681        284.242
True	180.689        298.782        298.782        180.689        178.929
False	179.681        298.782        298.782        179.681        178.929
True	284.919        298.782        298.782        180.689        283.716
False	284.919        298.782        298.782        179.681        283.716
True	351.84        327.041        305.169        367.071        342.741
False	351.84        327.041        306.542        367.071        342.741
True	351.755        327.041        305.169        367.071        342.699
False	351.755        327.041        306.542        367.071        342.699
True	336.013        306.542        305.169        355.289        331.067
False	336.013        306.542        306.542        354.986        331.067
True	190.395        298.782        298.782        180.689        187.807
False	189.06        298.782        298.782        179.681        187.807
True	317.252        306.542        305.169        355.289        315.305
False	317.252        306.542        306.542        354.986        315.305
True	351.165        327.041        305.169        358.373        341.569
False	351.165        327.041        306.542        359.095        341.569
True	284.003        298.782        298.782        180.689        282.812
False	284.003        298.782        298.782        179.681        282.812
True	338.274        306.542        305.169        355.289        332.399
False	338.274        306.542        306.542        354.986        332.399
True	350.444        327.041        305.169        367.071        342.042
False	350.444        327.041        306.542        367.071        342.042
True	302.886        306.542        305.169        355.289        302.011
False	302.886        306.542        306.542        354.986        302.011
True	278.551        298.782        298.782        180.689        277.36
False	278.551        298.782        298.782        179.681        277.36
True	210.279        298.782        298.782        180.689        208.677
False	210.279        298.782        298.782        179.681        208.677
True	184.786        298.782        298.782        180.689        182.292
False	183.524        298.782        298.782        179.681        182.292
True	293.362        306.542        305.169        231.255        292.501
False	293.362        306.542        306.542        231.255        292.501
True	285.981        306.542        305.169        231.255        285.119
False	285.981        306.542        306.542        231.255        285.119
True	325.236        306.542        305.169        355.289        322.129
False	325.236        306.542        306.542        354.986        322.129
True	333.546        306.542        305.169        367.071        328.165
False	333.546        306.542        306.542        367.071        328.165
True	206.266        298.782        298.782        180.689        204.698
False	206.266        298.782        298.782        179.681        204.698
True	296.541        298.782        298.782        367.071        295.313
False	296.541        298.782        298.782        367.071        295.313
True	180.689        298.782        298.782        180.689        178.929
False	179.681        298.782        298.782        179.681        178.929
True	350.57        327.041        305.169        348.219        341.241
False	350.57        327.041        306.542        359.095        341.241
True	277.568        298.782        298.782        180.689        276.394
False	277.568        298.782        298.782        179.681        276.394
True	285.182        298.782        298.782        359.644        283.978
False	285.182        298.782        298.782        359.644        283.978
True	350.041        327.041        305.169        348.219        340.941
False	350.041        327.041        306.542        359.095        340.941
True	351.017        327.041        305.169        367.071        342.437
False	351.017        327.041        306.542        367.071        342.437
True	301.555        306.542        305.169        355.289        300.68
