2024-01-08 20:19:15,873 - cli.py - This is Paynt version 0.1.0.
2024-01-08 20:19:15,873 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rover/int-holes/1000-constant-success/sketch.templ ...
2024-01-08 20:19:15,873 - sketch.py - assuming sketch in PRISM format...
2024-01-08 20:19:15,875 - prism_parser.py - PRISM model type: MDP
2024-01-08 20:19:15,875 - prism_parser.py - processing hole definitions...
2024-01-08 20:19:15,876 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/sketches/rover/int-holes/1000-constant-success/sketch.props ...
2024-01-08 20:19:15,876 - prism_parser.py - found the following specification: constraints: P>=3/4 [F "goal"]; 
2024-01-08 20:19:15,876 - jani.py - constructing JANI program...
2024-01-08 20:19:15,879 - jani.py - constructing the quotient...
2024-01-08 20:19:16,551 - jani.py - associating choices of the quotient with hole assignments...
2024-01-08 20:19:17,049 - sketch.py - sketch parsing OK
2024-01-08 20:19:17,049 - sketch.py - constructed explicit quotient having 17003 states and 486003 actions
2024-01-08 20:19:17,049 - sketch.py - found the following specification constraints: P>=3/4 [F "goal"]; 
2024-01-08 20:19:17,299 - mdp_family.py - associating choices with action labels...
2024-01-08 20:19:17,674 - synthesizer.py - evaluation initiated, design space: 38880
> Progress 16.273%, elapsed 190 s, estimated 1168 s, iters = {MDP: 6328}
> Progress 16.502%, elapsed 193 s, estimated 1170 s, iters = {MDP: 6417}
> Progress 16.784%, elapsed 196 s, estimated 1168 s, iters = {MDP: 6527}
> Progress 17.013%, elapsed 199 s, estimated 1170 s, iters = {MDP: 6616}
> Progress 17.278%, elapsed 202 s, estimated 1169 s, iters = {MDP: 6719}
> Progress 17.525%, elapsed 205 s, estimated 1170 s, iters = {MDP: 6815}
> Progress 17.816%, elapsed 208 s, estimated 1168 s, iters = {MDP: 6928}
> Progress 18.081%, elapsed 211 s, estimated 1168 s, iters = {MDP: 7031}
> Progress 18.356%, elapsed 214 s, estimated 1166 s, iters = {MDP: 7138}
> Progress 18.618%, elapsed 217 s, estimated 1166 s, iters = {MDP: 7240}
> Progress 18.87%, elapsed 220 s, estimated 1167 s, iters = {MDP: 7338}
> Progress 19.148%, elapsed 223 s, estimated 1165 s, iters = {MDP: 7446}
> Progress 19.39%, elapsed 226 s, estimated 1166 s, iters = {MDP: 7540}
> Progress 19.673%, elapsed 229 s, estimated 1165 s, iters = {MDP: 7650}
> Progress 19.938%, elapsed 232 s, estimated 1165 s, iters = {MDP: 7753}
> Progress 20.205%, elapsed 235 s, estimated 1164 s, iters = {MDP: 7857}
> Progress 20.452%, elapsed 238 s, estimated 1165 s, iters = {MDP: 7953}
> Progress 20.74%, elapsed 241 s, estimated 1163 s, iters = {MDP: 8065}
> Progress 20.992%, elapsed 244 s, estimated 1164 s, iters = {MDP: 8163}
> Progress 21.286%, elapsed 247 s, estimated 1162 s, iters = {MDP: 8277}
> Progress 21.535%, elapsed 250 s, estimated 1162 s, iters = {MDP: 8374}
> Progress 21.831%, elapsed 253 s, estimated 1161 s, iters = {MDP: 8489}
> Progress 22.075%, elapsed 256 s, estimated 1161 s, iters = {MDP: 8584}
> Progress 22.361%, elapsed 259 s, estimated 1160 s, iters = {MDP: 8695}
> Progress 22.59%, elapsed 262 s, estimated 1162 s, iters = {MDP: 8784}
> Progress 22.89%, elapsed 265 s, estimated 1159 s, iters = {MDP: 8901}
> Progress 23.127%, elapsed 268 s, estimated 1161 s, iters = {MDP: 8993}
> Progress 23.433%, elapsed 271 s, estimated 1158 s, iters = {MDP: 9112}
> Progress 23.67%, elapsed 274 s, estimated 1160 s, iters = {MDP: 9204}
> Progress 23.981%, elapsed 277 s, estimated 1157 s, iters = {MDP: 9325}
> Progress 24.212%, elapsed 280 s, estimated 1158 s, iters = {MDP: 9415}
> Progress 24.513%, elapsed 283 s, estimated 1156 s, iters = {MDP: 9532}
> Progress 24.76%, elapsed 286 s, estimated 1157 s, iters = {MDP: 9628}
> Progress 25.033%, elapsed 289 s, estimated 1156 s, iters = {MDP: 9734}
> Progress 25.285%, elapsed 292 s, estimated 1157 s, iters = {MDP: 9832}
> Progress 25.545%, elapsed 295 s, estimated 1157 s, iters = {MDP: 9933}
