2024-01-09 23:48:22,002 - cli.py - This is Paynt version 0.1.0.
2024-01-09 23:48:22,002 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-100-big/sketch.templ ...
2024-01-09 23:48:22,002 - sketch.py - assuming sketch in PRISM format...
2024-01-09 23:48:22,004 - prism_parser.py - PRISM model type: MDP
2024-01-09 23:48:22,004 - prism_parser.py - processing hole definitions...
2024-01-09 23:48:22,005 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-100-big/sketch.props ...
2024-01-09 23:48:22,005 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-09 23:48:22,005 - jani.py - constructing JANI program...
2024-01-09 23:48:22,009 - jani.py - constructing the quotient...
2024-01-09 23:48:22,087 - jani.py - associating choices of the quotient with hole assignments...
2024-01-09 23:48:22,131 - sketch.py - sketch parsing OK
2024-01-09 23:48:22,131 - sketch.py - constructed explicit quotient having 1703 states and 50203 actions
2024-01-09 23:48:22,132 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-09 23:48:22,138 - mdp_family.py - associating choices with action labels...
2024-01-09 23:48:22,189 - synthesizer.py - evaluation initiated, design space: 24300000
> Progress 20.199%, elapsed 168 s, estimated 832 s, iters = {game: 40252, MDP: 40852}
> Progress 20.609%, elapsed 171 s, estimated 830 s, iters = {game: 40855, MDP: 41318}
> Progress 21.075%, elapsed 174 s, estimated 826 s, iters = {game: 41482, MDP: 41791}
> Progress 21.54%, elapsed 177 s, estimated 822 s, iters = {game: 42152, MDP: 42321}
> Progress 22.078%, elapsed 180 s, estimated 815 s, iters = {game: 42785, MDP: 42808}
> Progress 22.468%, elapsed 183 s, estimated 814 s, iters = {game: 43362, MDP: 43267}
> Progress 23.01%, elapsed 186 s, estimated 808 s, iters = {game: 43978, MDP: 43740}
> Progress 23.495%, elapsed 189 s, estimated 804 s, iters = {game: 44612, MDP: 44230}
> Progress 23.916%, elapsed 192 s, estimated 803 s, iters = {game: 45224, MDP: 44700}
> Progress 24.398%, elapsed 195 s, estimated 799 s, iters = {game: 45878, MDP: 45197}
> Progress 24.869%, elapsed 198 s, estimated 796 s, iters = {game: 46555, MDP: 45729}
> Progress 25.41%, elapsed 201 s, estimated 791 s, iters = {game: 47195, MDP: 46223}
> Progress 25.837%, elapsed 204 s, estimated 789 s, iters = {game: 47812, MDP: 46711}
> Progress 26.419%, elapsed 207 s, estimated 783 s, iters = {game: 48467, MDP: 47214}
> Progress 26.867%, elapsed 210 s, estimated 782 s, iters = {game: 49082, MDP: 47691}
> Progress 27.249%, elapsed 213 s, estimated 782 s, iters = {game: 49674, MDP: 48151}
> Progress 27.692%, elapsed 216 s, estimated 780 s, iters = {game: 50313, MDP: 48640}
> Progress 28.186%, elapsed 219 s, estimated 777 s, iters = {game: 51016, MDP: 49194}
> Progress 28.748%, elapsed 222 s, estimated 772 s, iters = {game: 51704, MDP: 49726}
> Progress 29.156%, elapsed 225 s, estimated 772 s, iters = {game: 52373, MDP: 50269}
> Progress 29.722%, elapsed 228 s, estimated 767 s, iters = {game: 53084, MDP: 50819}
> Progress 30.223%, elapsed 231 s, estimated 764 s, iters = {game: 53760, MDP: 51342}
> Progress 30.677%, elapsed 234 s, estimated 763 s, iters = {game: 54421, MDP: 51848}
> Progress 31.156%, elapsed 237 s, estimated 761 s, iters = {game: 55076, MDP: 52352}
> Progress 31.705%, elapsed 240 s, estimated 757 s, iters = {game: 55811, MDP: 52926}
> Progress 32.255%, elapsed 243 s, estimated 753 s, iters = {game: 56482, MDP: 53456}
> Progress 32.74%, elapsed 246 s, estimated 751 s, iters = {game: 57141, MDP: 53971}
> Progress 33.257%, elapsed 249 s, estimated 749 s, iters = {game: 57761, MDP: 54442}
> Progress 33.367%, elapsed 252 s, estimated 755 s, iters = {game: 58445, MDP: 55414}
> Progress 33.398%, elapsed 255 s, estimated 763 s, iters = {game: 59065, MDP: 56376}
> Progress 33.444%, elapsed 258 s, estimated 771 s, iters = {game: 59764, MDP: 57460}
> Progress 33.476%, elapsed 261 s, estimated 780 s, iters = {game: 60450, MDP: 58543}
> Progress 33.521%, elapsed 264 s, estimated 787 s, iters = {game: 61143, MDP: 59622}
> Progress 33.583%, elapsed 267 s, estimated 795 s, iters = {game: 61740, MDP: 60538}
> Progress 33.675%, elapsed 270 s, estimated 802 s, iters = {game: 62467, MDP: 61636}
> Progress 33.753%, elapsed 273 s, estimated 809 s, iters = {game: 63151, MDP: 62678}
> Progress 33.799%, elapsed 276 s, estimated 816 s, iters = {game: 63783, MDP: 63658}
> Progress 33.845%, elapsed 279 s, estimated 824 s, iters = {game: 64470, MDP: 64713}
> Progress 33.878%, elapsed 282 s, estimated 832 s, iters = {game: 65167, MDP: 65802}
> Progress 34.456%, elapsed 285 s, estimated 827 s, iters = {game: 65868, MDP: 66417}
> Progress 35.079%, elapsed 288 s, estimated 821 s, iters = {game: 66561, MDP: 67007}
> Progress 35.943%, elapsed 291 s, estimated 809 s, iters = {game: 67291, MDP: 67625}
> Progress 36.777%, elapsed 294 s, estimated 799 s, iters = {game: 68003, MDP: 68233}
> Progress 37.407%, elapsed 297 s, estimated 794 s, iters = {game: 68627, MDP: 68782}
> Progress 38.161%, elapsed 300 s, estimated 786 s, iters = {game: 69328, MDP: 69388}
> Progress 39.012%, elapsed 303 s, estimated 777 s, iters = {game: 70030, MDP: 69984}
> Progress 39.907%, elapsed 306 s, estimated 767 s, iters = {game: 70691, MDP: 70544}
> Progress 40.594%, elapsed 309 s, estimated 761 s, iters = {game: 71323, MDP: 71100}
> Progress 41.298%, elapsed 312 s, estimated 755 s, iters = {game: 71994, MDP: 71686}
> Progress 42.115%, elapsed 315 s, estimated 748 s, iters = {game: 72698, MDP: 72280}
> Progress 43.086%, elapsed 318 s, estimated 738 s, iters = {game: 73448, MDP: 72917}
> Progress 43.773%, elapsed 321 s, estimated 733 s, iters = {game: 74077, MDP: 73467}
> Progress 44.421%, elapsed 324 s, estimated 729 s, iters = {game: 74751, MDP: 74061}
> Progress 45.061%, elapsed 327 s, estimated 726 s, iters = {game: 75482, MDP: 74688}
> Progress 45.883%, elapsed 330 s, estimated 719 s, iters = {game: 76201, MDP: 75294}
> Progress 46.82%, elapsed 333 s, estimated 711 s, iters = {game: 76861, MDP: 75862}
> Progress 47.376%, elapsed 336 s, estimated 709 s, iters = {game: 77413, MDP: 76348}
> Progress 48.09%, elapsed 339 s, estimated 705 s, iters = {game: 78070, MDP: 76917}
> Progress 48.961%, elapsed 342 s, estimated 698 s, iters = {game: 78814, MDP: 77547}
> Progress 49.938%, elapsed 345 s, estimated 691 s, iters = {game: 79513, MDP: 78142}
> Progress 50.041%, elapsed 348 s, estimated 695 s, iters = {game: 80197, MDP: 79133}
> Progress 50.07%, elapsed 351 s, estimated 701 s, iters = {game: 80802, MDP: 80075}
