2024-01-17 19:36:16,441 - cli.py - This is Paynt version 0.1.0.
2024-01-17 19:36:16,441 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/dpm-switch-big-q10/sketch.templ ...
2024-01-17 19:36:16,441 - sketch.py - assuming sketch in PRISM format...
2024-01-17 19:36:16,444 - prism_parser.py - PRISM model type: MDP
2024-01-17 19:36:16,444 - prism_parser.py - processing hole definitions...
2024-01-17 19:36:16,444 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/dpm-switch-big-q10/sketch.props ...
2024-01-17 19:36:16,445 - prism_parser.py - found the following specification: constraints: P>=9/10 [F ((bat = 0) & (lost = 0))]; 
2024-01-17 19:36:16,445 - jani.py - constructing JANI program...
2024-01-17 19:36:16,449 - jani.py - constructing the quotient...
2024-01-17 19:36:16,871 - jani.py - associating choices of the quotient with hole assignments...
2024-01-17 19:36:17,020 - sketch.py - sketch parsing OK
2024-01-17 19:36:17,021 - sketch.py - constructed explicit quotient having 8767 states and 117194 actions
2024-01-17 19:36:17,021 - sketch.py - found the following specification constraints: P>=9/10 [F ((bat = 0) & (lost = 0))]; 
2024-01-17 19:36:17,108 - mdp_family.py - associating choices with action labels...
2024-01-17 19:36:17,183 - synthesizer.py - evaluation initiated, design space: 131220
> progress 62.673%, elapsed 181 s, estimated 289 s, iters = {game: 1041, MDP: 974}
> progress 62.88%, elapsed 184 s, estimated 293 s, iters = {game: 1059, MDP: 1000}
> progress 62.894%, elapsed 187 s, estimated 298 s, iters = {game: 1076, MDP: 1036}
> progress 62.91%, elapsed 190 s, estimated 303 s, iters = {game: 1094, MDP: 1065}
> progress 63.127%, elapsed 193 s, estimated 307 s, iters = {game: 1114, MDP: 1085}
> progress 63.144%, elapsed 197 s, estimated 312 s, iters = {game: 1131, MDP: 1121}
> progress 63.157%, elapsed 200 s, estimated 316 s, iters = {game: 1148, MDP: 1150}
> progress 63.374%, elapsed 203 s, estimated 320 s, iters = {game: 1166, MDP: 1183}
> progress 63.389%, elapsed 206 s, estimated 325 s, iters = {game: 1184, MDP: 1217}
> progress 63.415%, elapsed 209 s, estimated 329 s, iters = {game: 1202, MDP: 1251}
> progress 63.629%, elapsed 212 s, estimated 333 s, iters = {game: 1221, MDP: 1279}
> progress 63.648%, elapsed 215 s, estimated 338 s, iters = {game: 1240, MDP: 1310}
> progress 63.667%, elapsed 218 s, estimated 343 s, iters = {game: 1258, MDP: 1346}
> progress 63.872%, elapsed 221 s, estimated 346 s, iters = {game: 1278, MDP: 1365}
> progress 63.9%, elapsed 224 s, estimated 351 s, iters = {game: 1296, MDP: 1399}
> progress 64.115%, elapsed 227 s, estimated 355 s, iters = {game: 1316, MDP: 1435}
> progress 64.135%, elapsed 230 s, estimated 360 s, iters = {game: 1335, MDP: 1473}
> progress 64.369%, elapsed 233 s, estimated 363 s, iters = {game: 1355, MDP: 1496}
> progress 64.394%, elapsed 237 s, estimated 368 s, iters = {game: 1373, MDP: 1533}
> progress 64.417%, elapsed 240 s, estimated 372 s, iters = {game: 1392, MDP: 1568}
> progress 64.617%, elapsed 243 s, estimated 376 s, iters = {game: 1408, MDP: 1586}
> progress 64.691%, elapsed 246 s, estimated 380 s, iters = {game: 1428, MDP: 1601}
> progress 64.872%, elapsed 249 s, estimated 384 s, iters = {game: 1448, MDP: 1621}
> progress 65.925%, elapsed 252 s, estimated 382 s, iters = {game: 1468, MDP: 1636}
> progress 66.107%, elapsed 255 s, estimated 386 s, iters = {game: 1488, MDP: 1656}
> progress 66.339%, elapsed 258 s, estimated 389 s, iters = {game: 1508, MDP: 1677}
> progress 66.364%, elapsed 261 s, estimated 393 s, iters = {game: 1529, MDP: 1695}
> progress 66.598%, elapsed 264 s, estimated 397 s, iters = {game: 1550, MDP: 1716}
> progress 67.078%, elapsed 267 s, estimated 398 s, iters = {game: 1570, MDP: 1731}
> progress 67.105%, elapsed 270 s, estimated 403 s, iters = {game: 1590, MDP: 1752}
> progress 67.599%, elapsed 273 s, estimated 404 s, iters = {game: 1610, MDP: 1765}
> progress 67.829%, elapsed 276 s, estimated 408 s, iters = {game: 1629, MDP: 1789}
> progress 68.065%, elapsed 279 s, estimated 411 s, iters = {game: 1648, MDP: 1808}
> progress 68.148%, elapsed 282 s, estimated 415 s, iters = {game: 1668, MDP: 1821}
> progress 68.326%, elapsed 285 s, estimated 418 s, iters = {game: 1687, MDP: 1851}
> progress 68.559%, elapsed 289 s, estimated 421 s, iters = {game: 1708, MDP: 1868}
> progress 68.581%, elapsed 292 s, estimated 426 s, iters = {game: 1728, MDP: 1897}
> progress 68.815%, elapsed 295 s, estimated 429 s, iters = {game: 1748, MDP: 1920}
> progress 69.053%, elapsed 298 s, estimated 432 s, iters = {game: 1768, MDP: 1942}
> progress 69.067%, elapsed 301 s, estimated 436 s, iters = {game: 1786, MDP: 1978}
> progress 69.382%, elapsed 304 s, estimated 439 s, iters = {game: 1804, MDP: 2006}
> progress 70.208%, elapsed 307 s, estimated 438 s, iters = {game: 1825, MDP: 2026}
> progress 70.227%, elapsed 310 s, estimated 442 s, iters = {game: 1843, MDP: 2063}
> progress 70.786%, elapsed 313 s, estimated 443 s, iters = {game: 1863, MDP: 2082}
> progress 70.811%, elapsed 316 s, estimated 447 s, iters = {game: 1881, MDP: 2120}
> progress 71.028%, elapsed 320 s, estimated 450 s, iters = {game: 1900, MDP: 2154}
> progress 71.047%, elapsed 323 s, estimated 454 s, iters = {game: 1918, MDP: 2177}
> progress 71.074%, elapsed 326 s, estimated 458 s, iters = {game: 1937, MDP: 2197}
> progress 71.294%, elapsed 329 s, estimated 461 s, iters = {game: 1954, MDP: 2209}
> progress 71.774%, elapsed 332 s, estimated 462 s, iters = {game: 1973, MDP: 2230}
> progress 72.016%, elapsed 335 s, estimated 465 s, iters = {game: 1993, MDP: 2259}
> progress 72.071%, elapsed 338 s, estimated 469 s, iters = {game: 2012, MDP: 2294}
> progress 72.272%, elapsed 341 s, estimated 472 s, iters = {game: 2030, MDP: 2323}
> progress 72.514%, elapsed 344 s, estimated 475 s, iters = {game: 2050, MDP: 2348}
> progress 72.757%, elapsed 347 s, estimated 478 s, iters = {game: 2070, MDP: 2377}
> progress 72.773%, elapsed 350 s, estimated 482 s, iters = {game: 2088, MDP: 2411}
> progress 73.013%, elapsed 354 s, estimated 484 s, iters = {game: 2107, MDP: 2441}
> progress 73.253%, elapsed 357 s, estimated 487 s, iters = {game: 2127, MDP: 2467}
> progress 73.333%, elapsed 360 s, estimated 491 s, iters = {game: 2145, MDP: 2497}
> progress 73.508%, elapsed 363 s, estimated 494 s, iters = {game: 2162, MDP: 2530}
