2024-01-17 21:08:30,344 - cli.py - This is Paynt version 0.1.0.
2024-01-17 21:08:30,344 - sketch.py - loading sketch from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-100-big/sketch.templ ...
2024-01-17 21:08:30,344 - sketch.py - assuming sketch in PRISM format...
2024-01-17 21:08:30,351 - prism_parser.py - PRISM model type: MDP
2024-01-17 21:08:30,351 - prism_parser.py - processing hole definitions...
2024-01-17 21:08:30,352 - prism_parser.py - loading properties from /home/fpmk/research/synthesis/experiments/../models/mdp/cav24/rover-100-big/sketch.props ...
2024-01-17 21:08:30,352 - prism_parser.py - found the following specification: constraints: P>=4/5 [F "goal"]; 
2024-01-17 21:08:30,352 - jani.py - constructing JANI program...
2024-01-17 21:08:30,355 - jani.py - constructing the quotient...
2024-01-17 21:08:30,431 - jani.py - associating choices of the quotient with hole assignments...
2024-01-17 21:08:30,474 - sketch.py - sketch parsing OK
2024-01-17 21:08:30,474 - sketch.py - constructed explicit quotient having 1703 states and 50203 actions
2024-01-17 21:08:30,474 - sketch.py - found the following specification constraints: P>=4/5 [F "goal"]; 
2024-01-17 21:08:30,481 - mdp_family.py - associating choices with action labels...
2024-01-17 21:08:30,511 - synthesizer.py - evaluation initiated, design space: 24300000
> progress 34.886%, elapsed 174 s, estimated 498 s, iters = {game: 48574, MDP: 43063}
> progress 35.206%, elapsed 177 s, estimated 502 s, iters = {game: 49342, MDP: 43688}
> progress 35.421%, elapsed 180 s, estimated 508 s, iters = {game: 50191, MDP: 44353}
> progress 36.589%, elapsed 183 s, estimated 500 s, iters = {game: 50999, MDP: 45068}
> progress 36.833%, elapsed 186 s, estimated 505 s, iters = {game: 51805, MDP: 45705}
> progress 37.23%, elapsed 189 s, estimated 507 s, iters = {game: 52612, MDP: 46273}
> progress 37.539%, elapsed 192 s, estimated 511 s, iters = {game: 53394, MDP: 46904}
> progress 37.763%, elapsed 195 s, estimated 516 s, iters = {game: 54248, MDP: 47582}
> progress 39.912%, elapsed 198 s, estimated 496 s, iters = {game: 55069, MDP: 48248}
> progress 40.04%, elapsed 201 s, estimated 502 s, iters = {game: 55748, MDP: 48868}
> progress 40.308%, elapsed 204 s, estimated 506 s, iters = {game: 56555, MDP: 49551}
> progress 40.654%, elapsed 207 s, estimated 509 s, iters = {game: 57251, MDP: 50110}
> progress 40.961%, elapsed 210 s, estimated 512 s, iters = {game: 58112, MDP: 50852}
> progress 42.286%, elapsed 213 s, estimated 503 s, iters = {game: 58897, MDP: 51568}
> progress 42.605%, elapsed 216 s, estimated 507 s, iters = {game: 59664, MDP: 52102}
> progress 43.108%, elapsed 219 s, estimated 508 s, iters = {game: 60437, MDP: 52679}
> progress 43.377%, elapsed 222 s, estimated 512 s, iters = {game: 61182, MDP: 53319}
> progress 43.608%, elapsed 225 s, estimated 516 s, iters = {game: 62024, MDP: 54070}
> progress 46.072%, elapsed 228 s, estimated 495 s, iters = {game: 62742, MDP: 54710}
> progress 46.396%, elapsed 231 s, estimated 498 s, iters = {game: 63572, MDP: 55279}
> progress 46.768%, elapsed 234 s, estimated 500 s, iters = {game: 64337, MDP: 55895}
> progress 46.99%, elapsed 237 s, estimated 504 s, iters = {game: 65198, MDP: 56536}
> progress 47.361%, elapsed 240 s, estimated 506 s, iters = {game: 66060, MDP: 57200}
> progress 47.7%, elapsed 243 s, estimated 509 s, iters = {game: 66843, MDP: 57845}
> progress 48.029%, elapsed 246 s, estimated 512 s, iters = {game: 67579, MDP: 58454}
> progress 49.106%, elapsed 249 s, estimated 507 s, iters = {game: 68443, MDP: 59198}
> progress 51.004%, elapsed 252 s, estimated 494 s, iters = {game: 69281, MDP: 59832}
> progress 51.381%, elapsed 255 s, estimated 496 s, iters = {game: 70029, MDP: 60422}
> progress 51.532%, elapsed 258 s, estimated 500 s, iters = {game: 70818, MDP: 61096}
> progress 51.664%, elapsed 261 s, estimated 505 s, iters = {game: 71522, MDP: 61697}
> progress 53.141%, elapsed 264 s, estimated 497 s, iters = {game: 72288, MDP: 62331}
> progress 53.559%, elapsed 267 s, estimated 498 s, iters = {game: 73059, MDP: 62891}
> progress 53.788%, elapsed 270 s, estimated 502 s, iters = {game: 73845, MDP: 63553}
> progress 53.925%, elapsed 273 s, estimated 506 s, iters = {game: 74580, MDP: 64181}
> progress 54.085%, elapsed 276 s, estimated 510 s, iters = {game: 75261, MDP: 64767}
> progress 56.246%, elapsed 279 s, estimated 496 s, iters = {game: 76106, MDP: 65419}
> progress 56.656%, elapsed 282 s, estimated 497 s, iters = {game: 76888, MDP: 65949}
> progress 57.012%, elapsed 285 s, estimated 500 s, iters = {game: 77633, MDP: 66555}
> progress 57.251%, elapsed 288 s, estimated 503 s, iters = {game: 78351, MDP: 67181}
> progress 58.654%, elapsed 291 s, estimated 496 s, iters = {game: 79035, MDP: 67816}
> progress 58.981%, elapsed 294 s, estimated 498 s, iters = {game: 79816, MDP: 68375}
> progress 59.409%, elapsed 297 s, estimated 500 s, iters = {game: 80556, MDP: 68948}
> progress 59.659%, elapsed 300 s, estimated 503 s, iters = {game: 81185, MDP: 69480}
> progress 62.324%, elapsed 303 s, estimated 486 s, iters = {game: 82018, MDP: 70066}
> progress 62.669%, elapsed 306 s, estimated 488 s, iters = {game: 82769, MDP: 70595}
> progress 63.04%, elapsed 309 s, estimated 490 s, iters = {game: 83475, MDP: 71103}
> progress 63.338%, elapsed 312 s, estimated 493 s, iters = {game: 84140, MDP: 71652}
> progress 63.628%, elapsed 315 s, estimated 495 s, iters = {game: 84947, MDP: 72346}
> progress 64.99%, elapsed 318 s, estimated 489 s, iters = {game: 85662, MDP: 72952}
> progress 65.208%, elapsed 321 s, estimated 492 s, iters = {game: 86300, MDP: 73493}
> progress 65.404%, elapsed 324 s, estimated 495 s, iters = {game: 87195, MDP: 74311}
> progress 65.536%, elapsed 327 s, estimated 499 s, iters = {game: 87895, MDP: 74960}
> progress 67.232%, elapsed 330 s, estimated 491 s, iters = {game: 88639, MDP: 75606}
> progress 67.609%, elapsed 333 s, estimated 493 s, iters = {game: 89489, MDP: 76268}
> progress 67.878%, elapsed 336 s, estimated 495 s, iters = {game: 90378, MDP: 77028}
> progress 68.102%, elapsed 339 s, estimated 498 s, iters = {game: 91196, MDP: 77745}
> progress 69.61%, elapsed 342 s, estimated 491 s, iters = {game: 92007, MDP: 78422}
> progress 69.985%, elapsed 345 s, estimated 493 s, iters = {game: 92770, MDP: 79020}
> progress 70.217%, elapsed 348 s, estimated 496 s, iters = {game: 93643, MDP: 79772}
> progress 72.399%, elapsed 351 s, estimated 485 s, iters = {game: 94482, MDP: 80493}
> progress 72.686%, elapsed 354 s, estimated 487 s, iters = {game: 95310, MDP: 81035}
> progress 73.047%, elapsed 357 s, estimated 489 s, iters = {game: 96055, MDP: 81626}
> progress 73.362%, elapsed 360 s, estimated 491 s, iters = {game: 96968, MDP: 82400}
> progress 73.601%, elapsed 363 s, estimated 493 s, iters = {game: 97770, MDP: 83098}
> progress 75.108%, elapsed 366 s, estimated 487 s, iters = {game: 98543, MDP: 83839}
> progress 75.31%, elapsed 369 s, estimated 490 s, iters = {game: 99282, MDP: 84580}
> progress 75.654%, elapsed 372 s, estimated 492 s, iters = {game: 100137, MDP: 85286}
> progress 75.957%, elapsed 375 s, estimated 494 s, iters = {game: 100954, MDP: 85974}
> progress 78.088%, elapsed 378 s, estimated 484 s, iters = {game: 101705, MDP: 86681}
> progress 78.396%, elapsed 381 s, estimated 486 s, iters = {game: 102510, MDP: 87316}
> progress 78.619%, elapsed 384 s, estimated 488 s, iters = {game: 103206, MDP: 87899}
> progress 79.48%, elapsed 387 s, estimated 487 s, iters = {game: 104084, MDP: 88663}
> progress 80.621%, elapsed 390 s, estimated 484 s, iters = {game: 104770, MDP: 89264}
> progress 80.848%, elapsed 393 s, estimated 486 s, iters = {game: 105641, MDP: 90074}
> progress 81.085%, elapsed 396 s, estimated 488 s, iters = {game: 106354, MDP: 90660}
> progress 81.38%, elapsed 399 s, estimated 490 s, iters = {game: 107163, MDP: 91335}
> progress 82.222%, elapsed 402 s, estimated 489 s, iters = {game: 108044, MDP: 92104}
> progress 83.484%, elapsed 405 s, estimated 485 s, iters = {game: 108780, MDP: 92672}
> progress 83.84%, elapsed 408 s, estimated 487 s, iters = {game: 109655, MDP: 93264}
> progress 84.21%, elapsed 411 s, estimated 488 s, iters = {game: 110476, MDP: 93941}
> progress 86.396%, elapsed 414 s, estimated 479 s, iters = {game: 111321, MDP: 94647}
> progress 89.03%, elapsed 417 s, estimated 468 s, iters = {game: 112169, MDP: 95286}
> progress 89.366%, elapsed 420 s, estimated 470 s, iters = {game: 113101, MDP: 95918}
> progress 89.634%, elapsed 423 s, estimated 472 s, iters = {game: 113906, MDP: 96619}
> progress 91.784%, elapsed 426 s, estimated 464 s, iters = {game: 114764, MDP: 97354}
> progress 92.222%, elapsed 429 s, estimated 465 s, iters = {game: 115584, MDP: 98035}
> progress 94.922%, elapsed 432 s, estimated 455 s, iters = {game: 116500, MDP: 98725}
> progress 95.197%, elapsed 435 s, estimated 457 s, iters = {game: 117324, MDP: 99442}
> progress 97.375%, elapsed 438 s, estimated 450 s, iters = {game: 118171, MDP: 100145}
> progress 97.793%, elapsed 441 s, estimated 451 s, iters = {game: 119072, MDP: 100864}
> progress 98.07%, elapsed 444 s, estimated 453 s, iters = {game: 119900, MDP: 101584}
--------------------
Policy tree summary:
found 25133 satisfying policies for 11412740/24300000 family members (47.0%)
policy tree has 125190 nodes, 64846 of them are leaves:
	  solvable leaves: 25133 (avg.size: 454.1)
	unsolvable leaves: 39713 (avg.size: 324.5)
	 singleton leaves: 5061
--------------------
2024-01-17 21:16:21,639 - policy_tree.py - post-processing the policy tree...
2024-01-17 21:16:21,639 - policy_tree.py - merging SAT siblings solved by non-exclusively compatible policies...
2024-01-17 21:16:26,790 - policy_tree.py - additional 42 MDPs were model checked
2024-01-17 21:16:26,790 - policy_tree.py - removed 149 nodes
2024-01-17 21:16:26,790 - policy_tree.py - merging all exclusively compatible policies...
2024-01-17 21:16:36,059 - policy_tree.py - removed 24901 policies
2024-01-17 21:16:36,059 - policy_tree.py - reducing tree height...
2024-01-17 21:16:44,013 - policy_tree.py - removed 35048 nodes
2024-01-17 21:16:44,015 - policy_tree.py - merging siblings that have the same solution...
2024-01-17 21:16:51,375 - policy_tree.py - removed 23510 nodes
2024-01-17 21:16:51,377 - policy_tree.py - postprocessing took 29 s
--------------------
Policy tree summary:
found 143 satisfying policies for 11412740/24300000 family members (47.0%)
policy tree has 66483 nodes, 41247 of them are leaves:
	  solvable leaves: 20734 (avg.size: 550.4)
	unsolvable leaves: 20513 (avg.size: 628.2)
	 singleton leaves: 1667
--------------------
2024-01-17 21:17:10,749 - synthesizer.py - evaluation finished
--------------------
Synthesis summary:
constraint 1: P>=4/5 [F "goal"]

method: AR (policy tree), synthesis time: 520.24 s
number of holes: 10, family size: 24300000, quotient: 1703 states / 50203 actions
explored: 100 %
Game stats: avg MDP size: 1018, iterations: 120129
MDP stats: avg MDP size: 1033, iterations: 101784

satisfied 11412740/24300000 members (47%)
--------------------
model info:	states	choices	MDPs	states*MDPs	SAT MDPs	SAT %
1703 50203 24300000 41382900000 11412740 46.97
synthesis info:	time	nodes	nodes (merged)	leaves	leaves (merged)	leaves (merged) / MDPs %	policies	policies (merged)	policies (merged) / SAT %	pp time	pp time %	game iters	MDP iters	iters/MDPs %
520 125190 66483 64846 41247 0.17 25133 143 0.0 29 5.58 120129 101784 0.91

